paper_id,authors,year,title,venue,doi_or_url,literature_area,research_question,data,method,main_result,relevance,gap_relative_to_project,verification_level,notes
L01,"Guillermo Gallego; Garrett van Ryzin",1994,"Optimal Dynamic Pricing of Inventories with Stochastic Demand over Finite Horizons","Management Science 40(8):999-1020",https://doi.org/10.1287/mnsc.40.8.999,"1;2;14","How should a seller dynamically price fixed perishable inventory under stochastic price-sensitive demand?","Theoretical model; numerical illustrations","Continuous-time stochastic dynamic control and heuristics","Optimal prices balance current revenue against the opportunity cost of capacity; the framework permits random cancellations but does not model weather-driven reliability risk.","Foundational link from demand and remaining capacity to prices.","No observed airline fares, ex-ante operational-risk measure, or risk-by-demand pricing interaction.","publisher abstract and metadata verified","Primary INFORMS record accessed 2026-09-12."
L02,"Guillermo Gallego; Garrett van Ryzin",1997,"A Multiproduct Dynamic Pricing Problem and Its Applications to Network Yield Management","Operations Research 45(1):24-41",https://doi.org/10.1287/opre.45.1.24,"1;2;4;14","How should a capacity-constrained network price multiple products sharing resources?","Theoretical stochastic demand model; numerical examples","Stochastic control; deterministic upper bound; asymptotically optimal heuristics","Prices and availability depend on network opportunity costs and demand intensities.","Provides the core revenue-management logic behind fare-class availability and demand-responsive pricing.","Operational disruption probabilities are outside the state vector; no empirical weather or reliability test.","publisher abstract and metadata verified","Primary INFORMS record accessed 2026-09-12."
L03,"James D. Dana Jr.",1999,"Using Yield Management to Shift Demand When the Peak Time is Unknown","RAND Journal of Economics 30(3):456-474",https://doi.org/10.2307/2556058,"1;2;3;4;14","Can price dispersion and rationed low-fare availability efficiently shift demand when the peak period is unknown?","Theoretical model motivated by airlines and other perishable-capacity industries","Competitive equilibrium model with aggregate uncertainty and price rigidities","Multiple prices and restricted low-price availability can shift demand and reduce capacity costs even without knowing which period will peak.","Shows why demand uncertainty and capacity constraints can produce dispersion without product-quality differences.","Uncertainty concerns peak demand, not forecast operational failure; no risk-by-demand slope estimate.","full text verified via journal copy; bibliographic metadata verified","Primary journal article; stable JSTOR URL."
L04,"Severin Borenstein; Nancy L. Rose",1994,"Competition and Price Dispersion in the U.S. Airline Industry","Journal of Political Economy 102(4):653-683",https://www.nber.org/papers/w3785,"1;3;4","How much within-carrier route fare dispersion exists and how does it vary with competition?","U.S. passenger ticket records aggregated by carrier-route","Cross-sectional econometric analysis of fare dispersion","The expected absolute fare difference between two passengers on a route averaged 36% of the mean fare; dispersion was higher on more competitive routes and routes with lower flight density.","Establishes large cross-sectional airfare dispersion in ticket data similar in spirit to DB1B.","Quarterly ticket data do not reveal quote timing, inventory, forecast risk, or why a given fare changed.","authoritative NBER abstract/full working paper and published-version metadata verified","Published version identified by NBER."
L05,"Joanna Stavins",2001,"Price Discrimination in the Airline Market: The Effect of Market Concentration","Review of Economics and Statistics 83(1):200-202",https://www.bostonfed.org/publications/research-department-working-paper/1996/price-discrimination-in-the-airline-market-the-effect-of-market-concentration.aspx,"3;4;6;7","How do ticket restrictions and market concentration affect airline price discrimination?","U.S. route fares and ticket restrictions","Econometric analysis controlling for distance and gate restrictions","Advance-purchase and Saturday-night-stay restrictions carry price effects, and measured price discrimination increases with competition in the studied sample.","Directly demonstrates that fare restrictions and fare classes encode product differentiation, not just a single price.","Does not isolate refund levels, exchangeability, weather risk, or flight-specific demand states.","Federal Reserve full working paper and final-publication metadata verified","Page range follows published citation in the Federal Reserve record."
L06,"Diego Escobari; Li Gan",2007,"Price Dispersion under Costly Capacity and Demand Uncertainty","NBER Working Paper 13075",https://www.nber.org/papers/w13075,"2;3;4;14","Do costly capacity and uncertain demand explain airline fare dispersion?","Daily fares and seat inventories for 228 U.S. domestic flights over 103 days","Panel econometrics testing Prescott-Eden-Dana predictions","Lower selling probabilities are associated with higher prices, with a larger effect in more competitive markets; advance-purchase discount evidence remains after controlling for demand uncertainty.","Very close evidence connecting inventory/selling probability and airfare.","Selling probability is not operational reliability; there is no forecast weather or cancellation-risk interaction.","NBER abstract and full working paper verified","Working paper status retained; no unverified journal citation substituted."
L07,"Robert Clark; Nicolas Vincent",2012,"Capacity-Contingent Pricing and Competition in the Airline Industry","Journal of Air Transport Management 24:7-11",https://doi.org/10.1016/j.jairtraman.2012.04.005,"2;3;4;14","How do own and rival remaining capacities affect posted airline prices?","High-frequency prices and load factors from airline websites on a busy U.S. corridor","Flight-level panel analysis","Some airlines respond to rival prices and load factors and raise prices as rivals' available seats disappear, even controlling for days and own seats remaining.","Shows contemporaneous capacity information can affect dynamic fare setting.","Capacity scarcity is not disruption probability; the analysis does not test weather/reliability risk or its interaction with demand.","publisher abstract and bibliographic metadata verified","Evidence summary limited to accessible abstract."
L08,"Diego Escobari",2012,"Dynamic Pricing, Advance Sales and Aggregate Demand Learning in Airlines","Journal of Industrial Economics 60(4):697-724",https://doi.org/10.1111/joie.12004,"1;2;3;4;14","Do prices respond to inventory, time to departure, and newly revealed aggregate demand?","Panel of U.S. flight fares, inventories, and sales","Joint dynamic price and demand equations","Prices rise as inventory falls and fall as time to sell shrinks; demand shocks have a positive and much larger price effect than anticipated sales.","The closest verified empirical study of demand learning and fare response.","No ex-ante operational/weather risk measure and no test of whether risk changes the demand-price slope.","publisher abstract/metadata and author-hosted full paper verified","Primary Wiley page and author-hosted article used."
L09,"Kevin R. Williams",2022,"The Welfare Effects of Dynamic Pricing: Evidence From Airline Markets","Econometrica 90(2):831-858",https://doi.org/10.3982/ECTA16180,"1;2;3;4;14","What drives dynamic airline pricing and what are its welfare effects?","Novel flight-level prices and seat availability for U.S. airline markets","Structural dynamic demand and pricing model; counterfactual uniform pricing","Airfares respond both to demand shocks and changing willingness to pay; dynamic pricing benefits early leisure travelers and harms late business travelers relative to uniform pricing, with aggregate welfare effects varying by market.","Separates demand shocks from intertemporal consumer composition using the type of flight-level state data the original hypothesis would need.","Does not include weather forecasts, cancellation/delay probabilities, or operational-risk interactions.","publisher abstract and metadata verified; NBER working paper available","The earlier title was Dynamic Airline Pricing and Seat Availability."
L10,"Thomas Fiig; Remy Le Guen; Mathilde Gauchet",2018,"Dynamic Pricing of Airline Offers","Journal of Revenue and Pricing Management 17(6):381-393",https://doi.org/10.1057/s41272-018-0147-z,"1;4;5;6;7;8;9","How can airlines move from filed booking-class fares to dynamically priced offers including ancillaries and flexibility?","Industry systems description and illustrative optimization formulations","Practice article; conceptual architecture and pricing formulations","A continuous optimal offer price combines bid price/opportunity cost with a choice model; existing booking classes and fare rules limit price granularity, while flexibility and fare-lock products create further pricing problems.","Primary bridge to continuous pricing, fare families, flexibility products, and contextual attributes; it explicitly lists destination weather forecast as a possible ancillary-pricing attribute.","No causal or observational evidence that weather forecasts affect base fares; no operational-risk-by-demand test.","full publisher-version PDF verified","Full text hosted by IATA; bibliographic details and DOI visible in the article."
L11,"Daniel Garcia; Maarten C. W. Janssen; Radostina Shopova",2023,"Dynamic Pricing with Uncertain Capacities","Management Science 69(9):5275-5297",https://doi.org/10.1287/mnsc.2022.4613,"3;14","How does private information about rivals' unsold capacities affect dynamic pricing for time-dated products?","Theoretical two-firm model with extensions motivated by airlines and hotels","Dynamic equilibrium analysis","Private capacity information can generate price dispersion and rising expected prices near the deadline while limiting market power; information exchange can raise firms' profits.","Provides a clean supply-uncertainty pricing mechanism adjacent to operational-risk pricing.","Uncertain rival capacity differs from uncertain service delivery; baseline demand is known and there is no airline weather evidence.","publisher full text and metadata verified","Primary INFORMS record accessed 2026-09-12."
L12,"Diego Escobari; Paan Jindapon",2014,"Price Discrimination through Refund Contracts in Airlines","International Journal of Industrial Organization 34:1-8",https://doi.org/10.1016/j.ijindorg.2014.02.005,"4;6;7;9","How do refundable and non-refundable contracts screen travelers with uncertain individual demand?","Posted refundable and non-refundable fares and seat inventories for 96 U.S. monopoly-route flights observed over 28 periods","Two-period screening model; dynamic panel evidence","The refundable-minus-nonrefundable fare gap shrinks as departure approaches and travelers learn whether they will travel.","Direct evidence that refundability has option and price-discrimination components.","Studies fully refundable versus non-refundable endpoints; does not separately identify partially refundable/exchangeable attributes or operational reliability.","publisher abstract, methods snippets, and author full paper verified","Primary Elsevier page and author paper used."
L13,"Keith Mason",2006,"The Value and Usage of Ticket Flexibility for Short Haul Business Travellers","Journal of Air Transport Management 12(2):92-97",https://doi.org/10.1016/j.jairtraman.2006.01.002,"6;7;8;9","How often do business travelers use flexibility and how do they value it?","Survey of 284 business travelers plus stated-preference scenarios","Descriptive survey and stated-preference analysis","Respondents changed arrangements in 32% of short-haul trips; pay-per-change low-cost-carrier products could be cheaper than fully flexible fares for many travelers.","Shows exchange/refund flexibility has customer value but is not used on every trip.","Survey does not estimate an airline pricing rule, partial-refund premium, weather effect, or causal willingness to pay under disruption risk.","publisher abstract and detailed page snippets verified","Evidence summary limited to accessible publisher material."
L14,"R. Jay Graham; Laurie A. Garrow; John D. Leonard II",2010,"Business Travelers' Ticketing, Refund, and Exchange Behavior","Journal of Air Transport Management 16(4):196-201",https://doi.org/10.1016/j.jairtraman.2009.12.002,"6;7;8","When and why do business travelers cancel or exchange airline tickets?","Nine months of tickets purchased by employees of an Atlanta university","Revealed-preference descriptive and statistical analysis","Frequent travelers and Delta customers were more likely to request changes; timing, trip direction, and carrier also predicted changes.","Provides observed cancellation/exchange behavior relevant to the cost and value of flexible products.","One institutional traveler sample; no product-level refund amount, fare premium model, weather risk, or aggregate demand interaction.","publisher abstract/section snippets and bibliographic metadata verified","Evidence summary limited to accessible publisher material."
L15,"Ming Chen; Zhi-Long Chen",2019,"Uncertain about Your Travel Plan? Lock It and Decide Later: Dynamic Pricing with a Fare-Lock Option","Transportation Research Part E 125:1-26",https://doi.org/10.1016/j.tre.2019.02.003,"5;8;9","How should an airline dynamically price seats when customers may buy a fare-lock option?","Theoretical finite-horizon airline model; numerical experiments","Dynamic programming and approximation algorithm","Offering fare-lock can raise airline revenue and social welfare but may also raise ticket prices and reduce passenger surplus.","Formalizes a ticket as an option-like product and connects it to dynamic fare classes.","Fare-lock protects against future price movement, not flight disruption; no observed weather/reliability pricing response.","publisher abstract and metadata verified","Evidence summary limited to accessible abstract."
L16,"Silke J. Forbes",2008,"The Effect of Air Traffic Delays on Airline Prices","International Journal of Industrial Organization 26(5):1218-1232",https://doi.org/10.1016/j.ijindorg.2007.12.004,"10;11;14","How does an exogenous increase in delays affect airline prices?","U.S. route fares and delays around a change in LaGuardia takeoff/landing restrictions","Quasi-experimental econometric analysis","Prices fell by about $1.42 for each additional minute of delay, with a larger response in more competitive markets.","Strong causal evidence that realized/experienced reliability quality can affect market fares.","The shock is route quality, not quote-time forecast weather risk; it estimates a fare level response, not risk-by-demand slope moderation.","author-hosted published paper and publisher DOI metadata verified","Full article copy identifies received/accepted dates, model, and result."
L17,"Rodrigo Britto; Martin Dresner; Augusto Voltes",2012,"The Impact of Flight Delays on Passenger Demand and Societal Welfare","Transportation Research Part E 48(2):460-469",https://doi.org/10.1016/j.tre.2011.10.009,"10;11;12;14","How do route delays affect passenger demand, airfares, and welfare?","U.S. route-level traffic, fares, and lagged delay measures","Simultaneous demand and fare equations estimated by two-stage least squares; welfare calculations","Route delays reduce passenger demand and raise average fares in the study, consistent with demand and cost channels; both consumer and producer welfare fall.","Jointly models delay, demand, and fare, making it one of the closest aggregate precedents.","Uses lagged realized delay as route quality/cost, not ex-ante flight risk; does not estimate delay-risk × demand in the fare equation.","publisher abstract, methodology, and results snippets verified","Primary Elsevier page accessed 2026-09-12."
L18,"Bo Zou; Mark Hansen",2014,"Flight Delay Impact on Airfare and Flight Frequency: A Comprehensive Assessment","Transportation Research Part E 69:54-74",https://doi.org/10.1016/j.tre.2014.05.016,"10;11;12;14","How do origin, destination, and hub delays affect U.S. airfares and flight frequency?","U.S. itinerary-level fares, schedule/frequency, airport delays, cost, demand, and competition characteristics","Econometric airfare and frequency models","Airlines appear to pass delay costs into higher fares; systemwide proportional delay reductions imply large aggregate fare savings.","Broad aggregate evidence for a reliability-cost-to-fare channel.","Historical delays are not quote-time forecast risk and the model does not identify whether demand-price transmission flattens under risk.","publisher abstract and TRID bibliographic record verified","Evidence summary limited to accessible abstract/record."
L19,"Jay M. Rosenberger; Ellis L. Johnson; George L. Nemhauser",2003,"Rerouting Aircraft for Airline Recovery","Transportation Science 37(4):408-421",https://doi.org/10.1287/trsc.37.4.408.23271,"12;13","How should airlines reroute aircraft and reschedule legs after disruption?","Simulated airline operations","Mixed-integer optimization and aircraft-selection heuristic","The model minimizes rerouting and cancellation costs and can be revised to reduce crew and passenger disruptions.","Establishes the operational decisions and costs created by weather, congestion, and mechanical disruptions.","Recovery occurs after disruption; ticket prices and demand responses are not modeled.","publisher abstract/full metadata verified","Primary INFORMS record accessed 2026-09-12."
L20,"Jane Lee; Lavanya Marla; Alexandre Jacquillat",2020,"Dynamic Disruption Management in Airline Networks Under Airport Operating Uncertainty","Transportation Science 54(4):973-997",https://doi.org/10.1287/trsc.2020.0983,"10;12;13;14","Can airlines combine probabilistic airport-congestion forecasts with reactive recovery decisions?","Airport queueing estimates, Boeing/Jeppesen flight planning, and airline network experiments","Stochastic queuing plus dynamic stochastic integer programming; look-ahead and sample-average approximation","Using partial probabilistic forecasts reduced expected recovery costs by 1%-2% versus a myopic realized-disruption baseline in experiments.","Shows ex-ante operating uncertainty is measurable and decision-relevant within airline operations.","Optimizes recovery actions and costs, not customer fares; no demand-price interaction.","publisher abstract and metadata verified","Primary INFORMS record accessed 2026-09-12."
