model,term,estimate,se,ci_low,ci_high,p_value,n,pairs,inference
primary_training_standard_base,traffic,-16.53166671896249,7.2386478946287065,-31.631221634785973,-1.4321118031390068,0.033450097376129743,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_base,risk,-162.9008390851778,54.72394411581421,-277.0529862009861,-48.7486919693695,0.007455307141593771,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_base,interaction,50.584875283356645,42.47750202043412,-38.02164126243081,139.1913918291441,0.24764989675945023,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_matched,traffic,-16.53166671896249,7.2386478946287065,-31.631221634785973,-1.4321118031390068,0.033450097376129743,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_matched,risk,-162.9008390851778,54.72394411581421,-277.0529862009861,-48.7486919693695,0.007455307141593771,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_matched,interaction,50.584875283356645,42.47750202043412,-38.02164126243081,139.1913918291441,0.24764989675945023,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_capacity,traffic,-14.376491542823695,6.887321475236461,-28.74319238973616,-0.009790695911231495,0.049858399582152796,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_capacity,risk,-187.92973324831235,62.87960908636398,-319.09429938083406,-56.765167115790604,0.007257731350471351,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_capacity,interaction,55.82369222932945,41.549601127679225,-30.847256971485933,142.49464143014484,0.19414256409844058,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_capacity,log_seats,-20.762170431203085,32.5696374631097,-88.70124366995083,47.17690280754465,0.531049412892318,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
primary_training_standard_t100,traffic,93.56591164387625,41.43214577381873,7.139970017899529,179.99185326985298,0.03525765346561683,725,21,Approximate CR1 t; undirected pairs; shared-airport dependence remains
