model,risk_raw_sd,risk_residual_sd,fixed_risk_residual_max_abs,groups,repeated_groups
primary_training_standard_base,0.03616422895974407,0.021263243225200675,0.0586960748997508,94,94
primary_training_standard_matched,0.03616422895974407,0.021263243225200675,0.0586960748997508,94,94
primary_training_standard_capacity,0.03616422895974407,0.021263243225200675,0.0586960748997508,94,94
primary_training_standard_t100,0.03616422895974407,0.021263243225200675,0.0586960748997508,94,94
primary_training_seasonal_base,0.03616422895974407,0.00531884651461045,0.0,370,355
primary_training_seasonal_matched,0.03616422895974407,0.00531884651461045,0.0,370,355
primary_training_seasonal_capacity,0.03616422895974407,0.00531884651461045,0.0,370,355
primary_training_seasonal_t100,0.03616422895974407,0.00531884651461045,0.0,370,355
primary_holdout_standard_base,0.02959533147253639,0.013734297986752216,0.04203053328224355,91,89
primary_holdout_standard_matched,0.02959533147253639,0.013734297986752216,0.04203053328224355,91,89
primary_holdout_standard_capacity,0.02959533147253639,0.013734297986752216,0.04203053328224355,91,89
primary_holdout_standard_t100,0.02959533147253639,0.013734297986752216,0.04203053328224355,91,89
primary_holdout_seasonal_base,0.02959533147253639,0.0,0.0,180,0
primary_holdout_seasonal_matched,0.02959533147253639,0.0,0.0,180,0
primary_holdout_seasonal_capacity,0.02959533147253639,0.0,0.0,180,0
primary_holdout_seasonal_t100,0.02959533147253639,0.0,0.0,180,0
primary_full_standard_base,0.0351516134486834,0.02012749481258168,0.057978811741622,94,94
primary_full_standard_matched,0.0351516134486834,0.02012749481258168,0.057978811741622,94,94
primary_full_standard_capacity,0.0351516134486834,0.02012749481258168,0.057978811741622,94,94
primary_full_standard_t100,0.0351516134486834,0.02012749481258168,0.057978811741622,94,94
primary_full_seasonal_base,0.0351516134486834,0.006273148456690297,1.4627793275482235e-31,374,357
primary_full_seasonal_matched,0.0351516134486834,0.006273148456690297,1.4627793275482235e-31,374,357
primary_full_seasonal_capacity,0.0351516134486834,0.006273148456690297,1.4627793275482235e-31,374,357
primary_full_seasonal_t100,0.0351516134486834,0.006273148456690297,1.4627793275482235e-31,374,357
one_way_training_standard_base,0.03627734822188809,0.021111271727301206,0.05268643938819483,91,90
one_way_training_standard_matched,0.03627734822188809,0.021111271727301206,0.05268643938819483,91,90
one_way_training_standard_capacity,0.03627734822188809,0.021111271727301206,0.05268643938819483,91,90
one_way_training_standard_t100,0.03627734822188809,0.021111271727301206,0.05268643938819483,91,90
one_way_training_seasonal_base,0.03627734822188809,0.005323045799779633,0.0,354,345
one_way_training_seasonal_matched,0.03627734822188809,0.005323045799779633,0.0,354,345
one_way_training_seasonal_capacity,0.03627734822188809,0.005323045799779633,0.0,354,345
one_way_training_seasonal_t100,0.03627734822188809,0.005323045799779633,0.0,354,345
one_way_holdout_standard_base,0.029584086533447837,0.013455484839283445,0.042293342688090825,88,86
one_way_holdout_standard_matched,0.029584086533447837,0.013455484839283445,0.042293342688090825,88,86
one_way_holdout_standard_capacity,0.029584086533447837,0.013455484839283445,0.042293342688090825,88,86
one_way_holdout_standard_t100,0.029584086533447837,0.013455484839283445,0.042293342688090825,88,86
one_way_holdout_seasonal_base,0.029584086533447837,0.0,0.0,174,0
one_way_holdout_seasonal_matched,0.029584086533447837,0.0,0.0,174,0
one_way_holdout_seasonal_capacity,0.029584086533447837,0.0,0.0,174,0
one_way_holdout_seasonal_t100,0.029584086533447837,0.0,0.0,174,0
one_way_full_standard_base,0.03521593394218653,0.01995905943221913,0.0526273733709994,91,90
one_way_full_standard_matched,0.03521593394218653,0.01995905943221913,0.0526273733709994,91,90
one_way_full_standard_capacity,0.03521593394218653,0.01995905943221913,0.0526273733709994,91,90
one_way_full_standard_t100,0.03521593394218653,0.01995905943221913,0.0526273733709994,91,90
one_way_full_seasonal_base,0.03521593394218653,0.0062825054044239916,1.7516299471282274e-32,358,345
one_way_full_seasonal_matched,0.03521593394218653,0.0062825054044239916,1.7516299471282274e-32,358,345
one_way_full_seasonal_capacity,0.03521593394218653,0.0062825054044239916,1.7516299471282274e-32,358,345
one_way_full_seasonal_t100,0.03521593394218653,0.0062825054044239916,1.7516299471282274e-32,358,345
leave_ATL_standard,0.037342664198971115,0.021561472778233743,0.05093567789219145,68,68
leave_ATL_seasonal,0.037342664198971115,0.005377427464657809,0.0,266,251
leave_DEN_standard,0.034955542615928516,0.021382222202396096,0.054426002887633045,64,64
leave_DEN_seasonal,0.034955542615928516,0.005343896223833458,0.0,250,235
leave_DFW_standard,0.03754028027807613,0.02179924937434347,0.05617552718888519,70,70
leave_DFW_seasonal,0.03754028027807613,0.004955412556151295,0.0,278,267
leave_JFK_standard,0.03720338143388973,0.021911945172553713,0.058226750882136906,76,76
leave_JFK_seasonal,0.03720338143388973,0.005066911794078487,0.0,298,284
leave_LAX_standard,0.03362314011406625,0.021814469458410212,0.04915245921617394,62,62
leave_LAX_seasonal,0.03362314011406625,0.004478321285759296,0.0,244,239
leave_ORD_standard,0.038167002847040346,0.02141047346593162,0.05368429664034951,62,62
leave_ORD_seasonal,0.038167002847040346,0.0054612427267626005,0.0,244,235
leave_SEA_standard,0.02918110537792178,0.01261186360485656,0.027705638620640776,68,68
leave_SEA_seasonal,0.02918110537792178,0.005320316728107203,0.0,270,264
