model,n,pairs,airports,formula,status,rank,condition,reason
primary_training_standard_base,725,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,104.0,80.05667114459276,
primary_training_standard_matched,725,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,104.0,80.05667114459276,
primary_training_standard_capacity,725,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier) + C(period),estimated,105.0,22583.28762193339,
primary_training_standard_t100,725,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier) + C(period),estimated,105.0,50851.94377509237,
primary_training_seasonal_base,725,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),estimated,377.0,795.5415159956417,
primary_training_seasonal_matched,725,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),estimated,377.0,795.5415159956417,
primary_training_seasonal_capacity,725,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier_season) + C(period),estimated,378.0,38790.95346101842,
primary_training_seasonal_t100,725,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier_season) + C(period),estimated,378.0,86099.54021092,
primary_holdout_standard_base,180,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,95.0,112.59935912531792,
primary_holdout_standard_matched,180,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,95.0,112.59935912531792,
primary_holdout_standard_capacity,180,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier) + C(period),estimated,96.0,21036.929053948177,
primary_holdout_standard_t100,180,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier) + C(period),estimated,96.0,77484.96476875922,
primary_holdout_seasonal_base,180,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),not_estimable,,,focal regressors absorbed or collinear after fixed effects
primary_holdout_seasonal_matched,180,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),not_estimable,,,focal regressors absorbed or collinear after fixed effects
primary_holdout_seasonal_capacity,180,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier_season) + C(period),not_estimable,,,focal regressors absorbed or collinear after fixed effects
primary_holdout_seasonal_t100,180,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier_season) + C(period),not_estimable,,,focal regressors absorbed or collinear after fixed effects
primary_full_standard_base,905,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,106.0,80.7431183693449,
primary_full_standard_matched,905,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,106.0,80.7431183693449,
primary_full_standard_capacity,905,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier) + C(period),estimated,107.0,20408.955123136533,
primary_full_standard_t100,905,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier) + C(period),estimated,107.0,48722.20356857775,
primary_full_seasonal_base,905,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),estimated,383.0,500.10597055281124,
primary_full_seasonal_matched,905,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),estimated,383.0,500.10597055281124,
primary_full_seasonal_capacity,905,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier_season) + C(period),estimated,384.0,31689.527463259834,
primary_full_seasonal_t100,905,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier_season) + C(period),estimated,384.0,76981.92967329202,
one_way_training_standard_base,699,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,101.0,191.79741888091988,
one_way_training_standard_matched,699,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,101.0,191.79741888091988,
one_way_training_standard_capacity,699,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier) + C(period),estimated,102.0,21972.839040095438,
one_way_training_standard_t100,699,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier) + C(period),estimated,102.0,53870.09244947318,
one_way_training_seasonal_base,699,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),estimated,361.0,741.4045331644113,
one_way_training_seasonal_matched,699,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),estimated,361.0,741.4045331644113,
one_way_training_seasonal_capacity,699,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier_season) + C(period),estimated,362.0,38883.386716575544,
one_way_training_seasonal_t100,699,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier_season) + C(period),estimated,362.0,89205.19807654848,
one_way_holdout_standard_base,174,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,92.0,248.95529945763508,
one_way_holdout_standard_matched,174,21,7,fare_mean ~ demand_c * risk + C(route_carrier) + C(period),estimated,92.0,248.95529945763508,
one_way_holdout_standard_capacity,174,21,7,fare_mean ~ demand_c * risk + log_seats + C(route_carrier) + C(period),estimated,93.0,21505.791407255685,
one_way_holdout_standard_t100,174,21,7,fare_mean ~ t100_c * risk + log_seats + C(route_carrier) + C(period),estimated,93.0,79992.84747445703,
one_way_holdout_seasonal_base,174,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),not_estimable,,,focal regressors absorbed or collinear after fixed effects
one_way_holdout_seasonal_matched,174,21,7,fare_mean ~ demand_c * risk + C(route_carrier_season) + C(period),not_estimable,,,focal regressors absorbed or collinear after fixed effects
