sample,Year,Quarter,cells,sampled_passengers,records,fare_min,fare_max
one_way,2023,1,88,65688.0,15833,150.42105263157896,657.268717948718
one_way,2023,2,86,86413.0,17916,176.60854700854702,610.5636363636364
one_way,2023,3,86,89881.0,17726,147.85814771395076,568.7714907508162
one_way,2023,4,89,75570.0,18090,127.64041994750656,592.9848308051342
one_way,2024,1,87,66654.0,18742,160.96468926553672,565.2206776715899
one_way,2024,2,86,88051.0,20502,161.2496194824962,566.9020489755122
one_way,2024,3,89,93207.0,20612,153.03443113772454,556.9458413926499
one_way,2024,4,88,84112.0,20655,157.95644283121598,583.4730656219393
one_way,2025,1,86,63084.0,16929,156.7735368956743,622.5166051660517
one_way,2025,2,88,85006.0,20111,161.21692307692308,567.1284046692607
primary,2023,1,90,240605.0,78633,130.8774380165289,495.82124515772
primary,2023,2,92,301279.0,90418,160.19868421052632,530.3843846994536
primary,2023,3,91,307434.0,87156,144.51836065573772,515.1833869942809
primary,2023,4,92,282167.0,92729,125.69593345656192,540.7810355987054
primary,2024,1,88,239417.0,91910,144.63584989858012,527.193494492044
primary,2024,2,88,312911.0,102911,142.02246466735608,566.8426368264743
primary,2024,3,94,319323.0,100838,148.56343729263438,544.6259450097424
primary,2024,4,90,305483.0,103799,151.3718105616094,559.3863524349697
primary,2025,1,89,232737.0,83398,145.13726323119775,501.5059167054444
primary,2025,2,91,312362.0,100579,149.23272224781206,541.5965603357818
