airport,Year,Quarter,risk,coverage,expected_days,minimum_year_coverage,valid_days,max_input_date,latest_expected_date,fixed_risk
ORD,2023,1,0.08118081180811808,1.0,271,1.0,271,2022-03-31,2022-03-31,0.08118081180811808
ORD,2023,2,0.12087912087912088,1.0,273,1.0,273,2022-06-30,2022-06-30,0.12087912087912088
ORD,2023,3,0.07971014492753623,1.0,276,1.0,276,2022-09-30,2022-09-30,0.07971014492753623
ORD,2023,4,0.07246376811594203,1.0,276,1.0,276,2022-12-31,2022-12-31,0.07246376811594203
ORD,2024,1,0.08518518518518518,1.0,270,1.0,270,2023-03-31,2023-03-31,0.08118081180811808
ORD,2024,2,0.0989010989010989,1.0,273,1.0,273,2023-06-30,2023-06-30,0.12087912087912088
ORD,2024,3,0.09057971014492754,1.0,276,1.0,276,2023-09-30,2023-09-30,0.07971014492753623
ORD,2024,4,0.06884057971014493,1.0,276,1.0,276,2023-12-31,2023-12-31,0.07246376811594203
ORD,2025,1,0.0996309963099631,1.0,271,1.0,271,2024-03-31,2024-03-31,0.08118081180811808
ORD,2025,2,0.09523809523809523,1.0,273,1.0,273,2024-06-30,2024-06-30,0.12087912087912088
DEN,2023,1,0.014760147601476014,1.0,271,1.0,271,2022-03-31,2022-03-31,0.014760147601476014
DEN,2023,2,0.03663003663003663,1.0,273,1.0,273,2022-06-30,2022-06-30,0.03663003663003663
DEN,2023,3,0.018115942028985508,1.0,276,1.0,276,2022-09-30,2022-09-30,0.018115942028985508
DEN,2023,4,0.0036231884057971015,1.0,276,1.0,276,2022-12-31,2022-12-31,0.0036231884057971015
DEN,2024,1,0.014814814814814815,1.0,270,1.0,270,2023-03-31,2023-03-31,0.014760147601476014
DEN,2024,2,0.05128205128205128,1.0,273,1.0,273,2023-06-30,2023-06-30,0.03663003663003663
DEN,2024,3,0.03260869565217391,1.0,276,1.0,276,2023-09-30,2023-09-30,0.018115942028985508
DEN,2024,4,0.0,1.0,276,1.0,276,2023-12-31,2023-12-31,0.0036231884057971015
DEN,2025,1,0.014760147601476014,1.0,271,1.0,271,2024-03-31,2024-03-31,0.014760147601476014
DEN,2025,2,0.040293040293040296,1.0,273,1.0,273,2024-06-30,2024-06-30,0.03663003663003663
DFW,2023,1,0.1070110701107011,1.0,271,1.0,271,2022-03-31,2022-03-31,0.1070110701107011
DFW,2023,2,0.10989010989010989,1.0,273,1.0,273,2022-06-30,2022-06-30,0.10989010989010989
DFW,2023,3,0.057971014492753624,1.0,276,1.0,276,2022-09-30,2022-09-30,0.057971014492753624
DFW,2023,4,0.08333333333333333,1.0,276,1.0,276,2022-12-31,2022-12-31,0.08333333333333333
DFW,2024,1,0.06666666666666667,1.0,270,1.0,270,2023-03-31,2023-03-31,0.1070110701107011
DFW,2024,2,0.10622710622710622,1.0,273,1.0,273,2023-06-30,2023-06-30,0.10989010989010989
DFW,2024,3,0.036231884057971016,1.0,276,1.0,276,2023-09-30,2023-09-30,0.057971014492753624
DFW,2024,4,0.09057971014492754,1.0,276,1.0,276,2023-12-31,2023-12-31,0.08333333333333333
DFW,2025,1,0.08118081180811808,1.0,271,1.0,271,2024-03-31,2024-03-31,0.1070110701107011
DFW,2025,2,0.10989010989010989,1.0,273,1.0,273,2024-06-30,2024-06-30,0.10989010989010989
ATL,2023,1,0.18081180811808117,1.0,271,1.0,271,2022-03-31,2022-03-31,0.18081180811808117
ATL,2023,2,0.09157509157509157,1.0,273,1.0,273,2022-06-30,2022-06-30,0.09157509157509157
