AirportID,codes,passengers,rank,selected
12889,LAS,526390.0,1,True
13204,MCO,504455.0,2,True
12892,LAX,493035.0,3,True
13930,ORD,459549.0,4,True
11292,DEN,436292.0,5,True
10397,ATL,435375.0,6,True
14107,PHX,418236.0,7,True
14771,SFO,355618.0,8,True
11298,DFW,354360.0,9,True
12478,JFK,342610.0,10,True
11697,FLL,333727.0,11,True
12953,LGA,317653.0,12,True
10721,BOS,316228.0,13,True
11618,EWR,300070.0,14,True
14747,SEA,273824.0,15,True
14100,PHL,252418.0,16,True
10821,BWI,245070.0,17,True
13487,MSP,243323.0,18,True
15304,TPA,238245.0,19,True
11433,DTW,214745.0,20,True
14679,SAN,211235.0,21,True
13232,MDW,210382.0,22,True
12266,IAH,204780.0,23,True
11278,DCA,192921.0,24,True
12173,HNL,169300.0,25,True
14869,SLC,167357.0,26,True
13303,MIA,164915.0,27,True
13796,OAK,156332.0,28,True
14635,RSW,153842.0,29,True
15016,STL,136428.0,30,True
12264,IAD,134338.0,31,False
14057,PDX,129357.0,32,False
14908,SNA,127328.0,33,False
11057,CLT,124909.0,34,False
14893,SMF,123447.0,35,False
14831,SJC,120945.0,36,False
14027,PBI,117121.0,37,False
12191,HOU,115010.0,38,False
11259,DAL,111254.0,39,False
13198,MCI,108145.0,40,False
14843,SJU,102856.0,41,False
13342,MKE,95114.0,42,False
10693,BNA,94779.0,43,False
13495,MSY,93401.0,44,False
14492,RDU,92750.0,45,False
10423,AUS,86887.0,46,False
10800,BUR,83720.0,47,False
14122,PIT,83333.0,48,False
12339,IND,81348.0,49,False
11042,CLE,77272.0,50,False
14683,SAT,69508.0,51,False
11066,CMH,64568.0,52,False
13891,ONT,61520.0,53,False
13830,OGG,60180.0,54,False
11193,CVG,58281.0,55,False
10792,BUF,55142.0,56,False
10140,ABQ,55018.0,57,False
12954,LGB,51434.0,58,False
12451,JAX,51011.0,59,False
10529,BDL,49545.0,60,False
14570,RNO,44813.0,61,False
14307,PVD,43328.0,62,False
13244,MEM,39665.0,63,False
15376,TUS,37568.0,64,False
13871,OMA,37433.0,65,False
12197,HPN,33981.0,66,False
12391,ISP,32651.0,67,False
13296,MHT,31147.0,68,False
11540,ELP,29804.0,69,False
10713,BOI,29631.0,70,False
12758,KOA,29435.0,71,False
11884,GEG,29095.0,72,False
12982,LIH,27733.0,73,False
14730,SDF,25150.0,74,False
14524,RIC,24934.0,75,False
10158,ACY,24909.0,76,False
10599,BHM,24805.0,77,False
13851,OKC,24612.0,78,False
10299,ANC,24005.0,79,False
12402,ITO,23798.0,80,False
15370,TUL,22424.0,81,False
10257,ALB,21261.0,82,False
14262,PSP,20022.0,83,False
14761,SFB,19960.0,84,False
14576,ROC,19794.0,85,False
13931,ORF,19558.0,86,False
10466,AZA,18509.0,87,False
11267,DAY,17335.0,88,False
14112,PIE,17009.0,89,False
10874,CAK,16657.0,90,False
14986,SRQ,15960.0,91,False
12992,LIT,15787.0,92,False
15024,STT,14775.0,93,False
11423,DSM,11855.0,94,False
10666,BLI,11685.0,95,False
11503,EGE,11627.0,96,False
12896,LBB,11465.0,97,False
15096,SYR,10767.0,98,False
