Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,OriginAirportID,DestAirportID,Origin,Dest,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2014,1,19393,WN,10397,10821,ATL,BWI,142,16,1,0,125,0,32,13,1839.0,0.11267605633802817,0.007042253521126761,0.256,0.104,14.712
2014,1,19393,WN,10397,11292,ATL,DEN,56,5,0,0,51,0,19,4,954.0,0.08928571428571429,0.0,0.37254901960784315,0.0784313725490196,18.705882352941178
2014,1,19393,WN,10397,11697,ATL,FLL,75,7,0,0,68,0,20,3,384.0,0.09333333333333334,0.0,0.29411764705882354,0.04411764705882353,5.647058823529412
2014,1,19393,WN,10397,12889,ATL,LAS,64,4,0,0,60,0,29,10,2013.0,0.0625,0.0,0.48333333333333334,0.16666666666666666,33.55
2014,1,19393,WN,10397,12892,ATL,LAX,58,5,0,0,53,0,22,8,1622.0,0.08620689655172414,0.0,0.41509433962264153,0.1509433962264151,30.60377358490566
2014,1,19393,WN,10397,12953,ATL,LGA,31,5,1,0,25,0,11,1,252.0,0.16129032258064516,0.03225806451612903,0.44,0.04,10.08
2014,1,19393,WN,10397,13204,ATL,MCO,90,9,0,0,81,0,39,12,2010.0,0.1,0.0,0.48148148148148145,0.14814814814814814,24.814814814814813
2014,1,19393,WN,10397,13232,ATL,MDW,73,15,1,0,57,0,26,12,2562.0,0.2054794520547945,0.0136986301369863,0.45614035087719296,0.21052631578947367,44.94736842105263
2014,1,19393,WN,10397,14107,ATL,PHX,59,5,0,0,54,0,18,5,890.0,0.0847457627118644,0.0,0.3333333333333333,0.09259259259259259,16.48148148148148
2014,1,19393,WN,10397,14679,ATL,SAN,37,4,0,0,33,0,14,3,596.0,0.10810810810810811,0.0,0.42424242424242425,0.09090909090909091,18.060606060606062
2014,1,19393,WN,10397,14771,ATL,SFO,31,2,0,0,29,0,9,2,528.0,0.06451612903225806,0.0,0.3103448275862069,0.06896551724137931,18.20689655172414
2014,1,19393,WN,10397,15016,ATL,STL,30,1,1,0,28,0,6,1,207.0,0.03333333333333333,0.03333333333333333,0.21428571428571427,0.03571428571428571,7.392857142857143
2014,1,19393,WN,10397,15304,ATL,TPA,72,8,0,0,64,0,15,0,67.0,0.1111111111111111,0.0,0.234375,0.0,1.046875
2014,1,19393,WN,10721,10821,BOS,BWI,238,13,0,0,225,0,88,27,4015.0,0.0546218487394958,0.0,0.39111111111111113,0.12,17.844444444444445
2014,1,19393,WN,10721,11292,BOS,DEN,37,2,0,0,35,0,12,7,885.0,0.05405405405405406,0.0,0.34285714285714286,0.2,25.285714285714285
2014,1,19393,WN,10721,13232,BOS,MDW,91,17,1,0,73,0,19,6,1170.0,0.18681318681318682,0.01098901098901099,0.2602739726027397,0.0821917808219178,16.027397260273972
2014,1,19393,WN,10721,15016,BOS,STL,53,2,1,0,50,0,15,4,815.0,0.03773584905660377,0.018867924528301886,0.3,0.08,16.3
2014,1,19393,WN,10821,10397,BWI,ATL,143,16,0,0,127,0,48,22,2580.0,0.11188811188811189,0.0,0.3779527559055118,0.1732283464566929,20.31496062992126
2014,1,19393,WN,10821,10721,BWI,BOS,237,14,2,0,221,0,98,32,4857.0,0.05907172995780591,0.008438818565400843,0.4434389140271493,0.14479638009049775,21.97737556561086
2014,1,19393,WN,10821,11292,BWI,DEN,88,2,0,0,86,0,32,10,1942.0,0.022727272727272728,0.0,0.37209302325581395,0.11627906976744186,22.58139534883721
2014,1,19393,WN,10821,11433,BWI,DTW,84,9,2,0,73,0,20,7,1121.0,0.10714285714285714,0.023809523809523808,0.273972602739726,0.0958904109589041,15.356164383561644
2014,1,19393,WN,10821,11697,BWI,FLL,207,9,0,0,198,0,106,28,5784.0,0.043478260869565216,0.0,0.5353535353535354,0.1414141414141414,29.21212121212121
2014,1,19393,WN,10821,12889,BWI,LAS,67,0,0,0,67,0,21,4,629.0,0.0,0.0,0.31343283582089554,0.05970149253731343,9.388059701492537
2014,1,19393,WN,10821,12892,BWI,LAX,31,0,0,0,31,0,11,5,708.0,0.0,0.0,0.3548387096774194,0.16129032258064516,22.838709677419356
2014,1,19393,WN,10821,13204,BWI,MCO,213,6,1,0,206,0,94,22,4288.0,0.028169014084507043,0.004694835680751174,0.4563106796116505,0.10679611650485436,20.815533980582526
2014,1,19393,WN,10821,13232,BWI,MDW,174,39,9,0,126,0,40,14,2522.0,0.22413793103448276,0.05172413793103448,0.31746031746031744,0.1111111111111111,20.015873015873016
2014,1,19393,WN,10821,14107,BWI,PHX,61,2,0,0,59,0,26,7,1148.0,0.03278688524590164,0.0,0.4406779661016949,0.11864406779661017,19.45762711864407
2014,1,19393,WN,10821,14635,BWI,RSW,112,3,0,0,109,0,72,20,3821.0,0.026785714285714284,0.0,0.6605504587155964,0.1834862385321101,35.055045871559635
2014,1,19393,WN,10821,14679,BWI,SAN,56,0,0,0,56,0,21,7,653.0,0.0,0.0,0.375,0.125,11.660714285714286
2014,1,19393,WN,10821,14869,BWI,SLC,31,0,0,0,31,0,12,4,491.0,0.0,0.0,0.3870967741935484,0.12903225806451613,15.838709677419354
2014,1,19393,WN,10821,15016,BWI,STL,113,5,1,0,107,0,38,17,2711.0,0.04424778761061947,0.008849557522123894,0.35514018691588783,0.1588785046728972,25.33644859813084
2014,1,19393,WN,10821,15304,BWI,TPA,154,4,0,0,150,0,77,30,5296.0,0.025974025974025976,0.0,0.5133333333333333,0.2,35.306666666666665
2014,1,19393,WN,11278,15016,DCA,STL,62,1,1,0,60,0,15,4,659.0,0.016129032258064516,0.016129032258064516,0.25,0.06666666666666667,10.983333333333333
2014,1,19393,WN,11292,10397,DEN,ATL,56,2,2,0,52,0,18,4,670.0,0.03571428571428571,0.03571428571428571,0.34615384615384615,0.07692307692307693,12.884615384615385
2014,1,19393,WN,11292,10721,DEN,BOS,36,3,0,0,33,0,17,9,1632.0,0.08333333333333333,0.0,0.5151515151515151,0.2727272727272727,49.45454545454545
2014,1,19393,WN,11292,10821,DEN,BWI,90,5,0,0,85,0,47,14,2447.0,0.05555555555555555,0.0,0.5529411764705883,0.16470588235294117,28.788235294117648
2014,1,19393,WN,11292,11433,DEN,DTW,56,5,0,0,51,0,25,8,1474.0,0.08928571428571429,0.0,0.49019607843137253,0.1568627450980392,28.901960784313726
2014,1,19393,WN,11292,11618,DEN,EWR,57,4,0,0,53,0,28,14,1951.0,0.07017543859649122,0.0,0.5283018867924528,0.2641509433962264,36.81132075471698
2014,1,19393,WN,11292,11697,DEN,FLL,54,1,0,0,53,0,21,7,1176.0,0.018518518518518517,0.0,0.39622641509433965,0.1320754716981132,22.18867924528302
2014,1,19393,WN,11292,12889,DEN,LAS,238,3,0,0,235,0,93,37,4921.0,0.012605042016806723,0.0,0.39574468085106385,0.1574468085106383,20.940425531914894
2014,1,19393,WN,11292,12892,DEN,LAX,175,4,0,0,171,0,84,36,5068.0,0.022857142857142857,0.0,0.49122807017543857,0.21052631578947367,29.637426900584796
2014,1,19393,WN,11292,12953,DEN,LGA,57,3,0,0,54,0,26,7,1558.0,0.05263157894736842,0.0,0.48148148148148145,0.12962962962962962,28.85185185185185
2014,1,19393,WN,11292,13204,DEN,MCO,68,0,0,0,68,0,26,11,1479.0,0.0,0.0,0.38235294117647056,0.16176470588235295,21.75
2014,1,19393,WN,11292,13232,DEN,MDW,231,30,4,0,197,0,87,31,6458.0,0.12987012987012986,0.017316017316017316,0.4416243654822335,0.15736040609137056,32.78172588832487
2014,1,19393,WN,11292,13487,DEN,MSP,118,2,0,0,116,0,47,12,2588.0,0.01694915254237288,0.0,0.4051724137931034,0.10344827586206896,22.310344827586206
2014,1,19393,WN,11292,13796,DEN,OAK,114,2,0,0,112,0,50,22,3132.0,0.017543859649122806,0.0,0.44642857142857145,0.19642857142857142,27.964285714285715
2014,1,19393,WN,11292,14100,DEN,PHL,58,4,0,0,54,0,21,6,1419.0,0.06896551724137931,0.0,0.3888888888888889,0.1111111111111111,26.27777777777778
2014,1,19393,WN,11292,14107,DEN,PHX,238,3,0,0,235,0,76,30,3707.0,0.012605042016806723,0.0,0.32340425531914896,0.1276595744680851,15.774468085106383
2014,1,19393,WN,11292,14679,DEN,SAN,121,1,0,0,120,0,69,29,4402.0,0.008264462809917356,0.0,0.575,0.24166666666666667,36.68333333333333
2014,1,19393,WN,11292,14747,DEN,SEA,93,1,0,0,92,0,59,20,4516.0,0.010752688172043012,0.0,0.6413043478260869,0.21739130434782608,49.08695652173913
2014,1,19393,WN,11292,14771,DEN,SFO,97,1,1,0,95,0,53,26,3477.0,0.010309278350515464,0.010309278350515464,0.5578947368421052,0.2736842105263158,36.6
2014,1,19393,WN,11292,14869,DEN,SLC,172,2,0,0,170,0,79,25,4248.0,0.011627906976744186,0.0,0.4647058823529412,0.14705882352941177,24.988235294117647
2014,1,19393,WN,11292,15016,DEN,STL,115,1,1,0,113,0,54,14,2741.0,0.008695652173913044,0.008695652173913044,0.4778761061946903,0.12389380530973451,24.256637168141594
2014,1,19393,WN,11292,15304,DEN,TPA,62,0,0,0,62,0,18,9,914.0,0.0,0.0,0.2903225806451613,0.14516129032258066,14.741935483870968
2014,1,19393,WN,11433,10821,DTW,BWI,84,12,0,0,72,0,28,8,1131.0,0.14285714285714285,0.0,0.3888888888888889,0.1111111111111111,15.708333333333334
2014,1,19393,WN,11433,11292,DTW,DEN,56,5,0,0,51,0,27,9,1726.0,0.08928571428571429,0.0,0.5294117647058824,0.17647058823529413,33.84313725490196
2014,1,19393,WN,11433,12889,DTW,LAS,31,1,0,0,30,0,14,3,589.0,0.03225806451612903,0.0,0.4666666666666667,0.1,19.633333333333333
2014,1,19393,WN,11433,13204,DTW,MCO,9,1,0,0,8,0,5,1,223.0,0.1111111111111111,0.0,0.625,0.125,27.875
2014,1,19393,WN,11433,13232,DTW,MDW,143,28,2,0,113,0,50,18,3453.0,0.1958041958041958,0.013986013986013986,0.4424778761061947,0.1592920353982301,30.557522123893804
2014,1,19393,WN,11433,14107,DTW,PHX,31,1,0,0,30,0,13,6,976.0,0.03225806451612903,0.0,0.43333333333333335,0.2,32.53333333333333
2014,1,19393,WN,11433,15016,DTW,STL,58,4,1,0,53,0,22,7,1754.0,0.06896551724137931,0.017241379310344827,0.41509433962264153,0.1320754716981132,33.094339622641506
2014,1,19393,WN,11618,11292,EWR,DEN,54,3,0,0,51,0,22,8,1372.0,0.05555555555555555,0.0,0.43137254901960786,0.1568627450980392,26.901960784313726
2014,1,19393,WN,11618,13232,EWR,MDW,173,33,0,0,140,0,51,19,3827.0,0.1907514450867052,0.0,0.36428571428571427,0.1357142857142857,27.335714285714285
2014,1,19393,WN,11618,14107,EWR,PHX,31,1,0,0,30,0,11,6,853.0,0.03225806451612903,0.0,0.36666666666666664,0.2,28.433333333333334
2014,1,19393,WN,11618,15016,EWR,STL,53,7,0,0,46,0,11,3,588.0,0.1320754716981132,0.0,0.2391304347826087,0.06521739130434782,12.782608695652174
2014,1,19393,WN,11697,10397,FLL,ATL,75,7,0,0,68,0,33,5,1289.0,0.09333333333333334,0.0,0.4852941176470588,0.07352941176470588,18.955882352941178
2014,1,19393,WN,11697,10821,FLL,BWI,206,7,0,0,199,0,71,22,3341.0,0.03398058252427184,0.0,0.35678391959798994,0.11055276381909548,16.78894472361809
2014,1,19393,WN,11697,11292,FLL,DEN,51,0,0,0,51,0,18,2,392.0,0.0,0.0,0.35294117647058826,0.0392156862745098,7.686274509803922
2014,1,19393,WN,11697,12889,FLL,LAS,31,0,0,0,31,0,16,4,942.0,0.0,0.0,0.5161290322580645,0.12903225806451613,30.387096774193548
2014,1,19393,WN,11697,13232,FLL,MDW,97,7,5,0,85,0,32,14,2386.0,0.07216494845360824,0.05154639175257732,0.3764705882352941,0.16470588235294117,28.070588235294117
2014,1,19393,WN,11697,14100,FLL,PHL,65,3,0,0,62,0,27,7,1282.0,0.046153846153846156,0.0,0.43548387096774194,0.11290322580645161,20.677419354838708
2014,1,19393,WN,11697,14107,FLL,PHX,25,0,0,0,25,0,10,1,417.0,0.0,0.0,0.4,0.04,16.68
2014,1,19393,WN,11697,15016,FLL,STL,32,0,1,0,31,0,18,6,1095.0,0.0,0.03125,0.5806451612903226,0.1935483870967742,35.32258064516129
2014,1,19393,WN,11697,15304,FLL,TPA,150,1,0,0,149,0,41,15,2105.0,0.006666666666666667,0.0,0.2751677852348993,0.10067114093959731,14.12751677852349
2014,1,19393,WN,12889,10397,LAS,ATL,64,5,0,0,59,0,9,1,79.0,0.078125,0.0,0.15254237288135594,0.01694915254237288,1.3389830508474576
2014,1,19393,WN,12889,10821,LAS,BWI,67,1,0,0,66,0,24,9,1106.0,0.014925373134328358,0.0,0.36363636363636365,0.13636363636363635,16.757575757575758
2014,1,19393,WN,12889,11292,LAS,DEN,242,1,0,0,241,0,76,35,4289.0,0.004132231404958678,0.0,0.3153526970954357,0.14522821576763487,17.796680497925312
2014,1,19393,WN,12889,11433,LAS,DTW,31,2,0,0,29,0,11,2,372.0,0.06451612903225806,0.0,0.3793103448275862,0.06896551724137931,12.827586206896552
2014,1,19393,WN,12889,11697,LAS,FLL,31,0,0,0,31,0,14,3,596.0,0.0,0.0,0.45161290322580644,0.0967741935483871,19.225806451612904
2014,1,19393,WN,12889,12892,LAS,LAX,353,4,1,0,348,0,129,37,6549.0,0.0113314447592068,0.0028328611898017,0.3706896551724138,0.10632183908045977,18.81896551724138
2014,1,19393,WN,12889,13204,LAS,MCO,37,2,0,0,35,0,13,3,685.0,0.05405405405405406,0.0,0.37142857142857144,0.08571428571428572,19.571428571428573
2014,1,19393,WN,12889,13232,LAS,MDW,211,27,6,0,178,0,61,24,4080.0,0.12796208530805686,0.02843601895734597,0.34269662921348315,0.1348314606741573,22.921348314606742
2014,1,19393,WN,12889,13796,LAS,OAK,263,4,0,0,259,0,85,29,4570.0,0.015209125475285171,0.0,0.3281853281853282,0.11196911196911197,17.644787644787645
2014,1,19393,WN,12889,14100,LAS,PHL,28,3,0,0,25,0,5,2,186.0,0.10714285714285714,0.0,0.2,0.08,7.44
2014,1,19393,WN,12889,14107,LAS,PHX,330,8,0,0,322,0,92,30,4381.0,0.024242424242424242,0.0,0.2857142857142857,0.09316770186335403,13.605590062111801
2014,1,19393,WN,12889,14679,LAS,SAN,327,8,0,0,319,0,100,36,4843.0,0.024464831804281346,0.0,0.31347962382445144,0.11285266457680251,15.181818181818182
2014,1,19393,WN,12889,14747,LAS,SEA,98,0,0,0,98,0,38,11,1958.0,0.0,0.0,0.3877551020408163,0.11224489795918367,19.979591836734695
2014,1,19393,WN,12889,14771,LAS,SFO,182,2,0,0,180,0,79,28,4428.0,0.01098901098901099,0.0,0.4388888888888889,0.15555555555555556,24.6
2014,1,19393,WN,12889,14869,LAS,SLC,152,1,1,0,150,0,43,16,2819.0,0.006578947368421052,0.006578947368421052,0.2866666666666667,0.10666666666666667,18.793333333333333
2014,1,19393,WN,12889,15016,LAS,STL,90,1,1,0,88,0,30,9,1398.0,0.011111111111111112,0.011111111111111112,0.3409090909090909,0.10227272727272728,15.886363636363637
2014,1,19393,WN,12889,15304,LAS,TPA,31,0,0,0,31,0,7,4,219.0,0.0,0.0,0.22580645161290322,0.12903225806451613,7.064516129032258
2014,1,19393,WN,12892,10397,LAX,ATL,61,3,0,0,58,0,16,5,580.0,0.04918032786885246,0.0,0.27586206896551724,0.08620689655172414,10.0
2014,1,19393,WN,12892,10821,LAX,BWI,31,0,0,0,31,0,6,2,119.0,0.0,0.0,0.1935483870967742,0.06451612903225806,3.838709677419355
2014,1,19393,WN,12892,11292,LAX,DEN,179,3,0,0,176,0,65,15,3202.0,0.01675977653631285,0.0,0.3693181818181818,0.08522727272727272,18.193181818181817
2014,1,19393,WN,12892,12889,LAX,LAS,352,8,0,0,344,0,109,25,4620.0,0.022727272727272728,0.0,0.3168604651162791,0.07267441860465117,13.430232558139535
2014,1,19393,WN,12892,13232,LAX,MDW,150,20,8,0,122,0,50,13,2621.0,0.13333333333333333,0.05333333333333334,0.4098360655737705,0.10655737704918032,21.483606557377048
2014,1,19393,WN,12892,13796,LAX,OAK,349,13,0,0,336,0,95,31,5197.0,0.03724928366762178,0.0,0.28273809523809523,0.09226190476190477,15.467261904761905
2014,1,19393,WN,12892,14107,LAX,PHX,263,4,0,0,259,0,91,31,4721.0,0.015209125475285171,0.0,0.35135135135135137,0.11969111969111969,18.227799227799228
2014,1,19393,WN,12892,14771,LAX,SFO,262,11,0,0,251,0,98,28,4904.0,0.04198473282442748,0.0,0.3904382470119522,0.11155378486055777,19.53784860557769
2014,1,19393,WN,12892,14869,LAX,SLC,88,0,0,0,88,0,27,8,1546.0,0.0,0.0,0.3068181818181818,0.09090909090909091,17.568181818181817
2014,1,19393,WN,12892,15016,LAX,STL,54,0,2,0,52,0,12,1,194.0,0.0,0.037037037037037035,0.23076923076923078,0.019230769230769232,3.730769230769231
2014,1,19393,WN,12953,10397,LGA,ATL,31,7,0,0,24,0,6,0,-130.0,0.22580645161290322,0.0,0.25,0.0,-5.416666666666667
2014,1,19393,WN,12953,11292,LGA,DEN,57,2,0,0,55,0,33,12,1822.0,0.03508771929824561,0.0,0.6,0.21818181818181817,33.127272727272725
