AirportID,code,source,Year,period
10397,ATL,BTS on-time,2017,1
10721,BOS,BTS on-time,2017,1
10821,BWI,BTS on-time,2017,1
11278,DCA,BTS on-time,2017,1
11292,DEN,BTS on-time,2017,1
11298,DFW,BTS on-time,2017,1
11433,DTW,BTS on-time,2017,1
11618,EWR,BTS on-time,2017,1
11697,FLL,BTS on-time,2017,1
12173,HNL,BTS on-time,2017,1
12266,IAH,BTS on-time,2017,1
12478,JFK,BTS on-time,2017,1
12889,LAS,BTS on-time,2017,1
12892,LAX,BTS on-time,2017,1
12953,LGA,BTS on-time,2017,1
13204,MCO,BTS on-time,2017,1
13232,MDW,BTS on-time,2017,1
13303,MIA,BTS on-time,2017,1
13487,MSP,BTS on-time,2017,1
13796,OAK,BTS on-time,2017,1
13930,ORD,BTS on-time,2017,1
14100,PHL,BTS on-time,2017,1
14107,PHX,BTS on-time,2017,1
14635,RSW,BTS on-time,2017,1
14679,SAN,BTS on-time,2017,1
14747,SEA,BTS on-time,2017,1
14771,SFO,BTS on-time,2017,1
14869,SLC,BTS on-time,2017,1
15016,STL,BTS on-time,2017,1
15304,TPA,BTS on-time,2017,1
10397,ATL,BTS on-time,2017,2
10721,BOS,BTS on-time,2017,2
10821,BWI,BTS on-time,2017,2
11278,DCA,BTS on-time,2017,2
11292,DEN,BTS on-time,2017,2
11298,DFW,BTS on-time,2017,2
11433,DTW,BTS on-time,2017,2
11618,EWR,BTS on-time,2017,2
11697,FLL,BTS on-time,2017,2
12173,HNL,BTS on-time,2017,2
12266,IAH,BTS on-time,2017,2
12478,JFK,BTS on-time,2017,2
12889,LAS,BTS on-time,2017,2
12892,LAX,BTS on-time,2017,2
12953,LGA,BTS on-time,2017,2
13204,MCO,BTS on-time,2017,2
13232,MDW,BTS on-time,2017,2
13303,MIA,BTS on-time,2017,2
13487,MSP,BTS on-time,2017,2
13796,OAK,BTS on-time,2017,2
13930,ORD,BTS on-time,2017,2
14100,PHL,BTS on-time,2017,2
14107,PHX,BTS on-time,2017,2
14635,RSW,BTS on-time,2017,2
14679,SAN,BTS on-time,2017,2
14747,SEA,BTS on-time,2017,2
14771,SFO,BTS on-time,2017,2
14869,SLC,BTS on-time,2017,2
15016,STL,BTS on-time,2017,2
15304,TPA,BTS on-time,2017,2
10397,ATL,BTS on-time,2017,3
10721,BOS,BTS on-time,2017,3
10821,BWI,BTS on-time,2017,3
11278,DCA,BTS on-time,2017,3
11292,DEN,BTS on-time,2017,3
11298,DFW,BTS on-time,2017,3
11433,DTW,BTS on-time,2017,3
11618,EWR,BTS on-time,2017,3
11697,FLL,BTS on-time,2017,3
12173,HNL,BTS on-time,2017,3
12266,IAH,BTS on-time,2017,3
12478,JFK,BTS on-time,2017,3
12889,LAS,BTS on-time,2017,3
12892,LAX,BTS on-time,2017,3
12953,LGA,BTS on-time,2017,3
13204,MCO,BTS on-time,2017,3
13232,MDW,BTS on-time,2017,3
13303,MIA,BTS on-time,2017,3
13487,MSP,BTS on-time,2017,3
13796,OAK,BTS on-time,2017,3
13930,ORD,BTS on-time,2017,3
14100,PHL,BTS on-time,2017,3
14107,PHX,BTS on-time,2017,3
14635,RSW,BTS on-time,2017,3
14679,SAN,BTS on-time,2017,3
14747,SEA,BTS on-time,2017,3
14771,SFO,BTS on-time,2017,3
14869,SLC,BTS on-time,2017,3
15016,STL,BTS on-time,2017,3
15304,TPA,BTS on-time,2017,3
10397,ATL,BTS on-time,2017,4
10721,BOS,BTS on-time,2017,4
10821,BWI,BTS on-time,2017,4
11278,DCA,BTS on-time,2017,4
11292,DEN,BTS on-time,2017,4
11298,DFW,BTS on-time,2017,4
11433,DTW,BTS on-time,2017,4
11618,EWR,BTS on-time,2017,4
11697,FLL,BTS on-time,2017,4
12173,HNL,BTS on-time,2017,4
12266,IAH,BTS on-time,2017,4
12478,JFK,BTS on-time,2017,4
12889,LAS,BTS on-time,2017,4
12892,LAX,BTS on-time,2017,4
12953,LGA,BTS on-time,2017,4
13204,MCO,BTS on-time,2017,4
13232,MDW,BTS on-time,2017,4
13303,MIA,BTS on-time,2017,4
13487,MSP,BTS on-time,2017,4
13796,OAK,BTS on-time,2017,4
13930,ORD,BTS on-time,2017,4
14100,PHL,BTS on-time,2017,4
14107,PHX,BTS on-time,2017,4
14635,RSW,BTS on-time,2017,4
14679,SAN,BTS on-time,2017,4
14747,SEA,BTS on-time,2017,4
14771,SFO,BTS on-time,2017,4
14869,SLC,BTS on-time,2017,4
15016,STL,BTS on-time,2017,4
15304,TPA,BTS on-time,2017,4
10397,ATL,BTS on-time,2017,5
10721,BOS,BTS on-time,2017,5
10821,BWI,BTS on-time,2017,5
11278,DCA,BTS on-time,2017,5
11292,DEN,BTS on-time,2017,5
11298,DFW,BTS on-time,2017,5
11433,DTW,BTS on-time,2017,5
11618,EWR,BTS on-time,2017,5
11697,FLL,BTS on-time,2017,5
12173,HNL,BTS on-time,2017,5
12266,IAH,BTS on-time,2017,5
12478,JFK,BTS on-time,2017,5
12889,LAS,BTS on-time,2017,5
12892,LAX,BTS on-time,2017,5
12953,LGA,BTS on-time,2017,5
13204,MCO,BTS on-time,2017,5
13232,MDW,BTS on-time,2017,5
13303,MIA,BTS on-time,2017,5
13487,MSP,BTS on-time,2017,5
13796,OAK,BTS on-time,2017,5
13930,ORD,BTS on-time,2017,5
14100,PHL,BTS on-time,2017,5
14107,PHX,BTS on-time,2017,5
14635,RSW,BTS on-time,2017,5
14679,SAN,BTS on-time,2017,5
14747,SEA,BTS on-time,2017,5
14771,SFO,BTS on-time,2017,5
14869,SLC,BTS on-time,2017,5
15016,STL,BTS on-time,2017,5
15304,TPA,BTS on-time,2017,5
10397,ATL,BTS on-time,2017,6
10721,BOS,BTS on-time,2017,6
10821,BWI,BTS on-time,2017,6
11278,DCA,BTS on-time,2017,6
11292,DEN,BTS on-time,2017,6
11298,DFW,BTS on-time,2017,6
11433,DTW,BTS on-time,2017,6
11618,EWR,BTS on-time,2017,6
11697,FLL,BTS on-time,2017,6
12173,HNL,BTS on-time,2017,6
12266,IAH,BTS on-time,2017,6
12478,JFK,BTS on-time,2017,6
12889,LAS,BTS on-time,2017,6
12892,LAX,BTS on-time,2017,6
12953,LGA,BTS on-time,2017,6
13204,MCO,BTS on-time,2017,6
13232,MDW,BTS on-time,2017,6
13303,MIA,BTS on-time,2017,6
13487,MSP,BTS on-time,2017,6
13796,OAK,BTS on-time,2017,6
13930,ORD,BTS on-time,2017,6
14100,PHL,BTS on-time,2017,6
14107,PHX,BTS on-time,2017,6
14635,RSW,BTS on-time,2017,6
14679,SAN,BTS on-time,2017,6
14747,SEA,BTS on-time,2017,6
14771,SFO,BTS on-time,2017,6
14869,SLC,BTS on-time,2017,6
15016,STL,BTS on-time,2017,6
15304,TPA,BTS on-time,2017,6
10397,ATL,BTS on-time,2017,7
10721,BOS,BTS on-time,2017,7
10821,BWI,BTS on-time,2017,7
11278,DCA,BTS on-time,2017,7
11292,DEN,BTS on-time,2017,7
11298,DFW,BTS on-time,2017,7
11433,DTW,BTS on-time,2017,7
11618,EWR,BTS on-time,2017,7
11697,FLL,BTS on-time,2017,7
12173,HNL,BTS on-time,2017,7
12266,IAH,BTS on-time,2017,7
12478,JFK,BTS on-time,2017,7
12889,LAS,BTS on-time,2017,7
12892,LAX,BTS on-time,2017,7
12953,LGA,BTS on-time,2017,7
13204,MCO,BTS on-time,2017,7
13232,MDW,BTS on-time,2017,7
13303,MIA,BTS on-time,2017,7
13487,MSP,BTS on-time,2017,7
13796,OAK,BTS on-time,2017,7
13930,ORD,BTS on-time,2017,7
14100,PHL,BTS on-time,2017,7
14107,PHX,BTS on-time,2017,7
14635,RSW,BTS on-time,2017,7
14679,SAN,BTS on-time,2017,7
14747,SEA,BTS on-time,2017,7
14771,SFO,BTS on-time,2017,7
14869,SLC,BTS on-time,2017,7
15016,STL,BTS on-time,2017,7
15304,TPA,BTS on-time,2017,7
10397,ATL,BTS on-time,2017,8
10721,BOS,BTS on-time,2017,8
10821,BWI,BTS on-time,2017,8
11278,DCA,BTS on-time,2017,8
11292,DEN,BTS on-time,2017,8
11298,DFW,BTS on-time,2017,8
11433,DTW,BTS on-time,2017,8
11618,EWR,BTS on-time,2017,8
11697,FLL,BTS on-time,2017,8
12173,HNL,BTS on-time,2017,8
12266,IAH,BTS on-time,2017,8
12478,JFK,BTS on-time,2017,8
12889,LAS,BTS on-time,2017,8
12892,LAX,BTS on-time,2017,8
12953,LGA,BTS on-time,2017,8
13204,MCO,BTS on-time,2017,8
13232,MDW,BTS on-time,2017,8
13303,MIA,BTS on-time,2017,8
13487,MSP,BTS on-time,2017,8
13796,OAK,BTS on-time,2017,8
13930,ORD,BTS on-time,2017,8
14100,PHL,BTS on-time,2017,8
14107,PHX,BTS on-time,2017,8
14635,RSW,BTS on-time,2017,8
14679,SAN,BTS on-time,2017,8
14747,SEA,BTS on-time,2017,8
14771,SFO,BTS on-time,2017,8
14869,SLC,BTS on-time,2017,8
15016,STL,BTS on-time,2017,8
15304,TPA,BTS on-time,2017,8
10397,ATL,BTS on-time,2017,9
10721,BOS,BTS on-time,2017,9
10821,BWI,BTS on-time,2017,9
11278,DCA,BTS on-time,2017,9
11292,DEN,BTS on-time,2017,9
11298,DFW,BTS on-time,2017,9
11433,DTW,BTS on-time,2017,9
11618,EWR,BTS on-time,2017,9
11697,FLL,BTS on-time,2017,9
12173,HNL,BTS on-time,2017,9
