Quarter,OriginAirportID,DestAirportID,sample,baseline_year,current_year,baseline_fare_present,current_fare_present,fare_continuity,baseline_operations_present,current_operations_present,operations_continuity
1,10397,10721,primary,2010,2017,True,True,retained,True,True,retained
1,10397,10821,primary,2010,2017,True,True,retained,True,True,retained
1,10397,11278,primary,2010,2017,True,True,retained,True,True,retained
1,10397,11292,primary,2010,2017,True,True,retained,True,True,retained
1,10397,11298,primary,2010,2017,True,True,retained,True,True,retained
1,10397,11433,primary,2010,2017,True,True,retained,True,True,retained
1,10397,11618,primary,2010,2017,True,True,retained,True,True,retained
1,10397,11697,primary,2010,2017,True,True,retained,True,True,retained
1,10397,12173,primary,2010,2017,True,True,retained,True,True,retained
1,10397,12266,primary,2010,2017,True,True,retained,True,True,retained
1,10397,12478,primary,2010,2017,True,True,retained,True,True,retained
1,10397,12889,primary,2010,2017,True,True,retained,True,True,retained
1,10397,12892,primary,2010,2017,True,True,retained,True,True,retained
1,10397,12953,primary,2010,2017,True,True,retained,True,True,retained
1,10397,13204,primary,2010,2017,True,True,retained,True,True,retained
1,10397,13232,primary,2010,2017,True,True,retained,True,True,retained
1,10397,13303,primary,2010,2017,True,True,retained,True,True,retained
1,10397,13487,primary,2010,2017,True,True,retained,True,True,retained
1,10397,13796,primary,2010,2017,False,True,entered,False,True,entered
1,10397,13930,primary,2010,2017,True,True,retained,True,True,retained
1,10397,14100,primary,2010,2017,True,True,retained,True,True,retained
1,10397,14107,primary,2010,2017,True,True,retained,True,True,retained
1,10397,14635,primary,2010,2017,True,True,retained,True,True,retained
1,10397,14679,primary,2010,2017,True,True,retained,True,True,retained
1,10397,14747,primary,2010,2017,True,True,retained,True,True,retained
1,10397,14771,primary,2010,2017,True,True,retained,True,True,retained
1,10397,14869,primary,2010,2017,True,True,retained,True,True,retained
1,10397,15016,primary,2010,2017,True,True,retained,True,True,retained
1,10397,15304,primary,2010,2017,True,True,retained,True,True,retained
1,10721,10397,primary,2010,2017,True,True,retained,True,True,retained
1,10721,10821,primary,2010,2017,True,True,retained,True,True,retained
1,10721,11278,primary,2010,2017,True,True,retained,True,True,retained
1,10721,11292,primary,2010,2017,True,True,retained,True,True,retained
1,10721,11298,primary,2010,2017,True,True,retained,True,True,retained
1,10721,11433,primary,2010,2017,True,True,retained,True,True,retained
1,10721,11618,primary,2010,2017,True,True,retained,True,True,retained
1,10721,11697,primary,2010,2017,True,True,retained,True,True,retained
1,10721,12266,primary,2010,2017,True,True,retained,True,True,retained
1,10721,12478,primary,2010,2017,True,True,retained,True,True,retained
1,10721,12889,primary,2010,2017,True,True,retained,True,True,retained
1,10721,12892,primary,2010,2017,True,True,retained,True,True,retained
1,10721,12953,primary,2010,2017,True,True,retained,True,True,retained
1,10721,13204,primary,2010,2017,True,True,retained,True,True,retained
1,10721,13232,primary,2010,2017,True,True,retained,True,True,retained
1,10721,13303,primary,2010,2017,True,True,retained,True,True,retained
1,10721,13487,primary,2010,2017,True,True,retained,True,True,retained
1,10721,13796,primary,2010,2017,True,True,retained,True,False,exited
1,10721,13930,primary,2010,2017,True,True,retained,True,True,retained
1,10721,14100,primary,2010,2017,True,True,retained,True,True,retained
1,10721,14107,primary,2010,2017,True,True,retained,True,True,retained
1,10721,14635,primary,2010,2017,True,True,retained,True,True,retained
1,10721,14679,primary,2010,2017,True,True,retained,True,True,retained
1,10721,14747,primary,2010,2017,True,True,retained,True,True,retained
1,10721,14771,primary,2010,2017,True,True,retained,True,True,retained
1,10721,14869,primary,2010,2017,True,True,retained,True,True,retained
1,10721,15016,primary,2010,2017,True,True,retained,True,True,retained
1,10721,15304,primary,2010,2017,True,True,retained,True,True,retained
1,10821,10397,primary,2010,2017,True,True,retained,True,True,retained
1,10821,10721,primary,2010,2017,True,True,retained,True,True,retained
1,10821,11278,primary,2010,2017,False,False,absent,False,False,absent
1,10821,11292,primary,2010,2017,True,True,retained,True,True,retained
1,10821,11298,primary,2010,2017,True,True,retained,True,True,retained
1,10821,11433,primary,2010,2017,True,True,retained,True,True,retained
1,10821,11618,primary,2010,2017,True,True,retained,True,True,retained
1,10821,11697,primary,2010,2017,True,True,retained,True,True,retained
1,10821,12266,primary,2010,2017,True,True,retained,True,True,retained
1,10821,12478,primary,2010,2017,True,True,retained,True,False,exited
1,10821,12889,primary,2010,2017,True,True,retained,True,True,retained
1,10821,12892,primary,2010,2017,True,True,retained,True,True,retained
1,10821,12953,primary,2010,2017,True,False,exited,True,False,exited
1,10821,13204,primary,2010,2017,True,True,retained,True,True,retained
1,10821,13232,primary,2010,2017,True,True,retained,True,True,retained
1,10821,13303,primary,2010,2017,True,True,retained,True,True,retained
1,10821,13487,primary,2010,2017,True,True,retained,True,True,retained
1,10821,13796,primary,2010,2017,True,True,retained,False,True,entered
1,10821,13930,primary,2010,2017,True,True,retained,True,True,retained
1,10821,14100,primary,2010,2017,True,True,retained,True,False,exited
1,10821,14107,primary,2010,2017,True,True,retained,True,True,retained
1,10821,14635,primary,2010,2017,True,True,retained,True,True,retained
1,10821,14679,primary,2010,2017,True,True,retained,True,True,retained
1,10821,14747,primary,2010,2017,True,True,retained,False,True,entered
1,10821,14771,primary,2010,2017,True,True,retained,True,True,retained
1,10821,14869,primary,2010,2017,True,True,retained,True,True,retained
1,10821,15016,primary,2010,2017,True,True,retained,True,True,retained
1,10821,15304,primary,2010,2017,True,True,retained,True,True,retained
1,11278,10397,primary,2010,2017,True,True,retained,True,True,retained
1,11278,10721,primary,2010,2017,True,True,retained,True,True,retained
1,11278,11292,primary,2010,2017,True,True,retained,True,True,retained
1,11278,11298,primary,2010,2017,True,True,retained,True,True,retained
1,11278,11433,primary,2010,2017,True,True,retained,True,True,retained
1,11278,11618,primary,2010,2017,True,True,retained,True,True,retained
1,11278,11697,primary,2010,2017,True,True,retained,True,True,retained
1,11278,12266,primary,2010,2017,True,True,retained,True,True,retained
1,11278,12478,primary,2010,2017,True,True,retained,True,True,retained
1,11278,12889,primary,2010,2017,True,True,retained,True,True,retained
1,11278,12892,primary,2010,2017,True,True,retained,True,True,retained
1,11278,12953,primary,2010,2017,True,True,retained,True,True,retained
1,11278,13204,primary,2010,2017,True,True,retained,True,True,retained
1,11278,13232,primary,2010,2017,True,True,retained,False,True,entered
1,11278,13303,primary,2010,2017,True,True,retained,True,True,retained
1,11278,13487,primary,2010,2017,True,True,retained,True,True,retained
1,11278,13796,primary,2010,2017,False,True,entered,False,False,absent
1,11278,13930,primary,2010,2017,True,True,retained,True,True,retained
1,11278,14100,primary,2010,2017,True,True,retained,True,True,retained
1,11278,14107,primary,2010,2017,True,True,retained,True,True,retained
1,11278,14635,primary,2010,2017,True,True,retained,True,True,retained
1,11278,14679,primary,2010,2017,False,True,entered,False,False,absent
1,11278,14747,primary,2010,2017,True,True,retained,True,True,retained
1,11278,14771,primary,2010,2017,True,True,retained,False,True,entered
1,11278,14869,primary,2010,2017,True,True,retained,True,True,retained
1,11278,15016,primary,2010,2017,True,True,retained,True,True,retained
1,11278,15304,primary,2010,2017,True,True,retained,True,True,retained
1,11292,10397,primary,2010,2017,True,True,retained,True,True,retained
1,11292,10721,primary,2010,2017,True,True,retained,True,True,retained
1,11292,10821,primary,2010,2017,True,True,retained,True,True,retained
1,11292,11278,primary,2010,2017,True,True,retained,True,True,retained
1,11292,11298,primary,2010,2017,True,True,retained,True,True,retained
1,11292,11433,primary,2010,2017,True,True,retained,True,True,retained
1,11292,11618,primary,2010,2017,True,True,retained,True,True,retained
1,11292,11697,primary,2010,2017,True,True,retained,True,True,retained
1,11292,12173,primary,2010,2017,True,True,retained,True,True,retained
1,11292,12266,primary,2010,2017,True,True,retained,True,True,retained
1,11292,12478,primary,2010,2017,True,True,retained,True,True,retained
1,11292,12889,primary,2010,2017,True,True,retained,True,True,retained
1,11292,12892,primary,2010,2017,True,True,retained,True,True,retained
1,11292,12953,primary,2010,2017,True,True,retained,True,True,retained
1,11292,13204,primary,2010,2017,True,True,retained,True,True,retained
1,11292,13232,primary,2010,2017,True,True,retained,True,True,retained
1,11292,13303,primary,2010,2017,True,True,retained,True,True,retained
1,11292,13487,primary,2010,2017,True,True,retained,True,True,retained
1,11292,13796,primary,2010,2017,True,True,retained,True,True,retained
1,11292,13930,primary,2010,2017,True,True,retained,True,True,retained
1,11292,14100,primary,2010,2017,True,True,retained,True,True,retained
1,11292,14107,primary,2010,2017,True,True,retained,True,True,retained
1,11292,14635,primary,2010,2017,True,True,retained,True,True,retained
1,11292,14679,primary,2010,2017,True,True,retained,True,True,retained
1,11292,14747,primary,2010,2017,True,True,retained,True,True,retained
1,11292,14771,primary,2010,2017,True,True,retained,True,True,retained
1,11292,14869,primary,2010,2017,True,True,retained,True,True,retained
1,11292,15016,primary,2010,2017,True,True,retained,True,True,retained
1,11292,15304,primary,2010,2017,True,True,retained,True,True,retained
1,11298,10397,primary,2010,2017,True,True,retained,True,True,retained
1,11298,10721,primary,2010,2017,True,True,retained,True,True,retained
1,11298,10821,primary,2010,2017,True,True,retained,True,True,retained
1,11298,11278,primary,2010,2017,True,True,retained,True,True,retained
1,11298,11292,primary,2010,2017,True,True,retained,True,True,retained
1,11298,11433,primary,2010,2017,True,True,retained,True,True,retained
1,11298,11618,primary,2010,2017,True,True,retained,True,True,retained
1,11298,11697,primary,2010,2017,True,True,retained,True,True,retained
1,11298,12173,primary,2010,2017,True,True,retained,True,True,retained
1,11298,12266,primary,2010,2017,True,True,retained,True,True,retained
1,11298,12478,primary,2010,2017,True,True,retained,True,True,retained
1,11298,12889,primary,2010,2017,True,True,retained,True,True,retained
1,11298,12892,primary,2010,2017,True,True,retained,True,True,retained
1,11298,12953,primary,2010,2017,True,True,retained,True,True,retained
