source,dot_id,reporting_code,baseline_year,current_year,baseline_present,current_present,continuity,baseline_periods_observed,current_periods_observed
DB1B,,16,2010,2020,True,False,exited,4,0
DB1B,,3M,2010,2020,False,True,entered,0,4
DB1B,,9E,2010,2020,True,True,retained,4,4
DB1B,,9L,2010,2020,True,False,exited,4,0
DB1B,,AA,2010,2020,True,True,retained,4,4
DB1B,,AS,2010,2020,True,True,retained,4,4
DB1B,,B6,2010,2020,True,True,retained,4,4
DB1B,,C5,2010,2020,False,True,entered,0,1
DB1B,,CO,2010,2020,True,False,exited,4,0
DB1B,,CP,2010,2020,True,True,retained,4,2
DB1B,,CS,2010,2020,True,False,exited,1,0
DB1B,,DL,2010,2020,True,True,retained,4,4
DB1B,,EV,2010,2020,True,True,retained,4,3
DB1B,,F8,2010,2020,True,False,exited,3,0
DB1B,,F9,2010,2020,True,True,retained,4,4
DB1B,,FL,2010,2020,True,False,exited,4,0
DB1B,,G4,2010,2020,True,True,retained,1,4
DB1B,,G7,2010,2020,True,True,retained,4,4
DB1B,,HA,2010,2020,True,True,retained,4,4
DB1B,,L3,2010,2020,True,False,exited,4,0
DB1B,,MQ,2010,2020,True,True,retained,4,4
DB1B,,NK,2010,2020,True,True,retained,4,4
DB1B,,OH,2010,2020,True,True,retained,4,4
DB1B,,OO,2010,2020,True,True,retained,4,4
DB1B,,OW,2010,2020,True,False,exited,4,0
DB1B,,QX,2010,2020,True,True,retained,4,4
DB1B,,S5,2010,2020,True,False,exited,4,0
DB1B,,SY,2010,2020,True,True,retained,4,4
DB1B,,U5,2010,2020,True,False,exited,4,0
DB1B,,UA,2010,2020,True,True,retained,4,4
DB1B,,US,2010,2020,True,False,exited,4,0
DB1B,,VX,2010,2020,True,False,exited,4,0
DB1B,,WN,2010,2020,True,True,retained,4,4
DB1B,,XE,2010,2020,True,False,exited,4,0
DB1B,,XJ,2010,2020,True,False,exited,4,0
DB1B,,YV,2010,2020,True,True,retained,4,4
DB1B,,YX,2010,2020,True,True,retained,4,4
DB1B,,ZW,2010,2020,True,False,exited,4,0
operations,19393,WN,2010,2020,True,True,retained,12,12
operations,19690,HA,2010,2020,True,True,retained,12,12
operations,19704,CO,2010,2020,True,False,exited,12,0
operations,19790,DL,2010,2020,True,True,retained,12,12
operations,19805,AA,2010,2020,True,True,retained,12,12
operations,19930,AS,2010,2020,True,True,retained,12,12
operations,19977,UA,2010,2020,True,True,retained,12,12
operations,20304,OO,2010,2020,True,True,retained,12,12
operations,20355,US,2010,2020,True,False,exited,12,0
operations,20363,9E,2010,2020,True,True,retained,12,12
operations,20366,EV,2010,2020,True,True,retained,12,9
operations,20368,G4,2010,2020,False,True,entered,0,12
operations,20374,XE,2010,2020,True,False,exited,12,0
operations,20378,YV,2010,2020,True,True,retained,12,12
operations,20397,OH,2010,2020,False,True,entered,0,12
operations,20398,MQ,2010,2020,True,True,retained,12,12
operations,20409,B6,2010,2020,True,True,retained,12,12
operations,20416,NK,2010,2020,False,True,entered,0,12
operations,20417,OH,2010,2020,True,False,exited,12,0
operations,20436,F9,2010,2020,True,True,retained,12,12
operations,20437,FL,2010,2020,True,False,exited,12,0
operations,20452,YX,2010,2020,False,True,entered,0,12
