source,AirportID,baseline_year,current_year,baseline_present,current_present,continuity,baseline_codes,current_codes,baseline_periods_observed,current_periods_observed
fare_primary,10397,2010,2025,True,True,retained,ATL,ATL,2,2
fare_primary,10721,2010,2025,True,True,retained,BOS,BOS,2,2
fare_primary,10821,2010,2025,True,True,retained,BWI,BWI,2,2
fare_primary,11278,2010,2025,True,True,retained,DCA,DCA,2,2
fare_primary,11292,2010,2025,True,True,retained,DEN,DEN,2,2
fare_primary,11298,2010,2025,True,True,retained,DFW,DFW,2,2
fare_primary,11433,2010,2025,True,True,retained,DTW,DTW,2,2
fare_primary,11618,2010,2025,True,True,retained,EWR,EWR,2,2
fare_primary,11697,2010,2025,True,True,retained,FLL,FLL,2,2
fare_primary,12173,2010,2025,True,True,retained,HNL,HNL,2,2
fare_primary,12266,2010,2025,True,True,retained,IAH,IAH,2,2
fare_primary,12478,2010,2025,True,True,retained,JFK,JFK,2,2
fare_primary,12889,2010,2025,True,True,retained,LAS,LAS,2,2
fare_primary,12892,2010,2025,True,True,retained,LAX,LAX,2,2
fare_primary,12953,2010,2025,True,True,retained,LGA,LGA,2,2
fare_primary,13204,2010,2025,True,True,retained,MCO,MCO,2,2
fare_primary,13232,2010,2025,True,True,retained,MDW,MDW,2,2
fare_primary,13303,2010,2025,True,True,retained,MIA,MIA,2,2
fare_primary,13487,2010,2025,True,True,retained,MSP,MSP,2,2
fare_primary,13796,2010,2025,True,True,retained,OAK,OAK,2,2
fare_primary,13930,2010,2025,True,True,retained,ORD,ORD,2,2
fare_primary,14100,2010,2025,True,True,retained,PHL,PHL,2,2
fare_primary,14107,2010,2025,True,True,retained,PHX,PHX,2,2
fare_primary,14635,2010,2025,True,True,retained,RSW,RSW,2,2
fare_primary,14679,2010,2025,True,True,retained,SAN,SAN,2,2
fare_primary,14747,2010,2025,True,True,retained,SEA,SEA,2,2
fare_primary,14771,2010,2025,True,True,retained,SFO,SFO,2,2
fare_primary,14869,2010,2025,True,True,retained,SLC,SLC,2,2
fare_primary,15016,2010,2025,True,True,retained,STL,STL,2,2
fare_primary,15304,2010,2025,True,True,retained,TPA,TPA,2,2
operations,10397,2010,2025,True,True,retained,ATL,ATL,6,6
operations,10721,2010,2025,True,True,retained,BOS,BOS,6,6
operations,10821,2010,2025,True,True,retained,BWI,BWI,6,6
operations,11278,2010,2025,True,True,retained,DCA,DCA,6,6
operations,11292,2010,2025,True,True,retained,DEN,DEN,6,6
operations,11298,2010,2025,True,True,retained,DFW,DFW,6,6
operations,11433,2010,2025,True,True,retained,DTW,DTW,6,6
operations,11618,2010,2025,True,True,retained,EWR,EWR,6,6
operations,11697,2010,2025,True,True,retained,FLL,FLL,6,6
operations,12173,2010,2025,True,True,retained,HNL,HNL,6,6
operations,12266,2010,2025,True,True,retained,IAH,IAH,6,6
operations,12478,2010,2025,True,True,retained,JFK,JFK,6,6
operations,12889,2010,2025,True,True,retained,LAS,LAS,6,6
operations,12892,2010,2025,True,True,retained,LAX,LAX,6,6
operations,12953,2010,2025,True,True,retained,LGA,LGA,6,6
operations,13204,2010,2025,True,True,retained,MCO,MCO,6,6
operations,13232,2010,2025,True,True,retained,MDW,MDW,6,6
operations,13303,2010,2025,True,True,retained,MIA,MIA,6,6
operations,13487,2010,2025,True,True,retained,MSP,MSP,6,6
operations,13796,2010,2025,True,True,retained,OAK,OAK,6,6
operations,13930,2010,2025,True,True,retained,ORD,ORD,6,6
operations,14100,2010,2025,True,True,retained,PHL,PHL,6,6
operations,14107,2010,2025,True,True,retained,PHX,PHX,6,6
operations,14635,2010,2025,True,True,retained,RSW,RSW,6,6
operations,14679,2010,2025,True,True,retained,SAN,SAN,6,6
operations,14747,2010,2025,True,True,retained,SEA,SEA,6,6
operations,14771,2010,2025,True,True,retained,SFO,SFO,6,6
operations,14869,2010,2025,True,True,retained,SLC,SLC,6,6
operations,15016,2010,2025,True,True,retained,STL,STL,6,6
operations,15304,2010,2025,True,True,retained,TPA,TPA,6,6
