year,regime,period_label,partial_year,expected_quarters,observed_quarters,expected_months,observed_months,national_flights,scoped_flights,db1b_reporting_codes,operations_reporting_dot_ids,scoped_operations_reporting_dot_ids,primary_cells,primary_matched,primary_fare_only,primary_operations_only,primary_fare_passengers,primary_matched_passengers,primary_passenger_weighted_coverage,primary_low_support_fare_cells,primary_partial_month_operations_cells,primary_missing_outcome_operations_cells,broad_cells,broad_matched,broad_fare_only,broad_operations_only,broad_fare_passengers,broad_matched_passengers,broad_passenger_weighted_coverage,broad_low_support_fare_cells,broad_partial_month_operations_cells,broad_missing_outcome_operations_cells
2010,pre_2020,2010_full_year,False,4,4,12,12,6450117,2100986,36,18,18,3191,2904,287,0,11922823.0,11904441.0,0.9984582510366882,152,26,0,3193,2904,289,0,11956231.0,11937804.0,0.9984587952507776,154,26,0
2011,pre_2020,2011_full_year,False,4,4,12,12,6085281,2110718,34,16,16,3199,2865,333,1,12296037.0,12273944.0,0.998203242231623,160,22,0,3200,2865,334,1,12335145.0,12313007.0,0.9982052906552781,159,22,0
2012,pre_2020,2012_full_year,False,4,4,12,12,6096762,2139724,30,15,15,3205,2882,321,2,12559062.0,12542086.0,0.99864830669679,151,24,0,3207,2882,323,2,12600700.0,12583702.0,0.9986510273238788,153,24,0
2013,pre_2020,2013_full_year,False,4,4,12,12,6369482,2156616,27,16,16,3208,2896,310,2,12855982.0,12831593.0,0.9981029064913127,169,20,1,3209,2896,311,2,12896599.0,12870487.0,0.9979752801494409,169,20,1
2014,pre_2020,2014_full_year,False,4,4,12,12,5819811,2084233,27,14,14,3220,2899,320,1,13240119.0,13205383.0,0.9973764586254852,173,31,0,3220,2899,320,1,13290791.0,13253591.0,0.9972010695224987,172,31,0
2015,pre_2020,2015_full_year,False,4,4,12,12,5819079,2191225,26,14,14,3217,2937,279,1,14484104.0,14467470.0,0.9988515685885713,149,24,1,3217,2937,279,1,14601676.0,14584963.0,0.998855405365795,148,24,1
2016,pre_2020,2016_full_year,False,4,4,12,12,5617658,2216189,24,12,12,3202,2943,258,1,16061276.0,16045286.0,0.9990044377545096,130,37,2,3202,2943,258,1,16240133.0,16224080.0,0.999011522873612,129,37,2
2017,pre_2020,2017_full_year,False,4,4,12,12,5674616,2220493,24,12,12,3192,2971,221,0,16956627.0,16945376.0,0.9993364836060851,129,38,0,3192,2971,221,0,17176884.0,17165623.0,0.9993444096146892,128,38,0
2018,pre_2020,2018_full_year,False,4,4,12,12,7206193,2388143,22,18,18,3180,3027,150,3,17565458.0,17558852.0,0.9996239209931218,107,36,1,3180,3028,150,2,17860521.0,17853907.0,0.999629686054511,108,36,1
2019,pre_2020,2019_full_year,False,4,4,12,12,7422037,2380567,21,17,17,3185,3025,157,3,17809242.0,17803406.0,0.9996723049751359,122,47,0,3186,3025,158,3,18110573.0,18104731.0,0.9996774259986142,123,47,0
2020,pandemic_2020_2021,2020_full_year,False,4,4,12,12,4688354,1474864,23,17,17,3069,2914,145,10,6731093.0,6728844.0,0.999665878929321,215,201,18,3071,2915,147,9,7151325.0,7149057.0,0.9996828559742426,218,201,18
2021,pandemic_2020_2021,2021_full_year,False,4,4,12,12,5995397,1855941,23,17,17,3140,2980,160,0,12967055.0,12961203.0,0.9995487024617387,135,63,0,3141,2980,161,0,13506113.0,13500259.0,0.9995665666354191,136,63,0
2022,recovery_2022_onward,2022_full_year,False,4,4,12,12,6729125,2171867,25,17,17,3170,3019,150,1,16492504.0,16487334.0,0.9996865242536852,117,57,0,3171,3019,151,1,16597846.0,16592671.0,0.9996882125548098,118,57,0
2023,recovery_2022_onward,2023_full_year,False,4,4,12,12,6847899,2264311,24,15,15,3198,3019,177,2,17568749.0,17561836.0,0.9996065172312496,140,36,1,3198,3019,177,2,17717415.0,17710498.0,0.9996095931601761,139,36,1
2024,recovery_2022_onward,2024_full_year,False,4,4,12,12,7079061,2283263,25,15,15,3130,3021,106,3,18179604.0,18173159.0,0.9996454818267768,88,40,1,3130,3021,106,3,18307020.0,18300570.0,0.9996476761373506,88,40,1
2025,recovery_2022_onward,2025_Q1_Q2_January_June,True,2,2,6,6,3446676,1120694,23,14,13,1560,1496,64,0,8635530.0,8633265.0,0.9997377115243651,63,16,0,1560,1496,64,0,8696440.0,8694175.0,0.9997395485968972,63,16,0
