source,identity_type,carrier_id,carrier_code,year,period_unit,first_period,last_period,periods_observed,periods_present,expected_periods,partial_year
DB1B,reporting_carrier_code,16,16,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,9E,9E,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,9L,9L,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AA,AA,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AS,AS,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,B6,B6,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CO,CO,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CP,CP,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CS,CS,2010,quarter,4,4,1,4,4,False
DB1B,reporting_carrier_code,DL,DL,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,EV,EV,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,F8,F8,2010,quarter,1,3,3,1;2;3,4,False
DB1B,reporting_carrier_code,F9,F9,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,FL,FL,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G4,G4,2010,quarter,1,1,1,1,4,False
DB1B,reporting_carrier_code,G7,G7,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,HA,HA,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,L3,L3,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,MQ,MQ,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,NK,NK,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OH,OH,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OO,OO,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OW,OW,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,QX,QX,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,S5,S5,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,SY,SY,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,U5,U5,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,UA,UA,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,US,US,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,VX,VX,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,WN,WN,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,XE,XE,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,XJ,XJ,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YV,YV,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YX,YX,2010,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,ZW,ZW,2010,quarter,1,4,4,1;2;3;4,4,False
BTS on-time,dot_reporting_airline_id,19393,WN,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
