year,quarter,regime,partial_year,expected_months,observed_months,national_flights,scoped_flights,db1b_reporting_codes,operations_reporting_dot_ids,scoped_operations_reporting_dot_ids,primary_cells,primary_matched,primary_fare_only,primary_operations_only,primary_fare_passengers,primary_matched_passengers,primary_passenger_weighted_coverage,primary_low_support_fare_cells,primary_partial_month_operations_cells,primary_missing_outcome_operations_cells,broad_cells,broad_matched,broad_fare_only,broad_operations_only,broad_fare_passengers,broad_matched_passengers,broad_passenger_weighted_coverage,broad_low_support_fare_cells,broad_partial_month_operations_cells,broad_missing_outcome_operations_cells
2010,1,pre_2020,False,3,3,1554341,509577,35,18,18,790,724,66,0,2726326.0,2722136.0,0.9984631331689607,30,4,0,791,724,67,0,2734538.0,2730339.0,0.9984644572501826,31,4,0
2010,2,pre_2020,False,3,3,1623764,527353,34,18,18,802,732,70,0,3053956.0,3049682.0,0.998600503740067,42,14,0,802,732,70,0,3061506.0,3057223.0,0.9986010153172981,42,14,0
2010,3,pre_2020,False,3,3,1666112,536888,34,18,18,798,728,70,0,3016250.0,3011840.0,0.998537919602155,37,5,0,799,728,71,0,3024738.0,3020316.0,0.9985380551968468,38,5,0
2010,4,pre_2020,False,3,3,1605900,527168,34,18,18,801,720,81,0,3126291.0,3120783.0,0.9982381678480986,43,3,0,801,720,81,0,3135449.0,3129926.0,0.9982385297927028,43,3,0
2011,1,pre_2020,False,3,3,1476603,514086,33,16,16,805,717,87,1,2810076.0,2805952.0,0.998532424034083,50,8,0,805,717,87,1,2815453.0,2811320.0,0.9985320301919443,48,8,0
2011,2,pre_2020,False,3,3,1556224,537155,32,16,16,795,716,79,0,3228252.0,3220885.0,0.9977179600601193,34,2,0,795,716,79,0,3237025.0,3229641.0,0.9977188931194538,34,2,0
2011,3,pre_2020,False,3,3,1576129,544598,32,16,16,800,716,84,0,3129466.0,3123053.0,0.9979507685975818,36,4,0,800,716,84,0,3140395.0,3133966.0,0.9979528052999702,36,4,0
2011,4,pre_2020,False,3,3,1476325,514879,33,16,16,799,716,83,0,3128243.0,3124054.0,0.998660909654397,40,8,0,800,716,84,0,3142272.0,3138080.0,0.9986659334392439,41,8,0
2012,1,pre_2020,False,3,3,1472587,519688,28,15,15,796,712,83,1,2908879.0,2905403.0,0.9988050379544835,39,5,0,797,712,84,1,2919821.0,2916337.0,0.9988067761688131,40,5,0
2012,2,pre_2020,False,3,3,1550574,542913,29,15,15,804,722,82,0,3264109.0,3259559.0,0.9986060514523258,40,10,0,804,722,82,0,3272384.0,3267825.0,0.9986068260937592,40,10,0
