model,term,estimate,se,ci_low,ci_high,p_value,inference_note
baseline_pooled,demand_c,9.80059345327736,4.952445564963644,-1.0996657413692716,20.70085264792399,0.07340215161233285,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
baseline_fe,demand_c,-1.0166618929143505,13.804019620556168,-31.39910422737229,29.365780441543592,0.9426113391573804,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
benign_baseline_fe,demand_c,-39.58901016516648,11.226497340804162,-64.60320506193283,-14.57481526840013,0.00547970120343497,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
risk_additive_fe,demand_c,-6.254704485713821,14.106000846055759,-37.30180301612265,24.79239404469501,0.6660657717556646,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
risk_additive_fe,risk,-203.58862728392663,74.35380137306551,-367.24024070244513,-39.93701386540812,0.019296657713107873,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
core_interaction_fe,demand_c,-31.04097438603254,14.5068072863106,-62.970241943511425,0.888293171446346,0.05562923471240466,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
core_interaction_fe,risk,-205.15025568341636,75.58793365033809,-371.51817592980194,-38.78233543703081,0.02014415419509945,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
core_interaction_fe,demand_c:risk,227.54870359820825,118.02976745277655,-32.233063014420054,487.33047021083655,0.08007264314586097,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
passenger_weighted,demand_c,-46.544356438987165,15.405382746736093,-80.45137525008508,-12.637337627889252,0.011628572372968377,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
passenger_weighted,risk,-274.6773290015542,70.94810784921094,-430.8330615142486,-118.52159648885979,0.002601088008577098,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
passenger_weighted,demand_c:risk,292.7924122856443,133.5551007887975,-1.1603826050421162,586.7452071763307,0.05076433368148083,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
log_fare,demand_c,-0.14677068316597697,0.06653417104896729,-0.29321140628375275,-0.00032996004820121105,0.04956866242294312,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
log_fare,risk,-0.905304041261604,0.3298099405050689,-1.6312108259639668,-0.1793972565592411,0.019062798620534154,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
log_fare,demand_c:risk,1.019976993292512,0.491467110914737,-0.061734824503935526,2.1016888110889598,0.06219339853996502,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
broad_fare_bounds,demand_c,-30.97923472102436,14.391896453516486,-62.655585240789634,0.6971157987409136,0.05440536171382374,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
broad_fare_bounds,risk,-202.25275138023488,75.12068005956237,-367.5922534073236,-36.9132493531462,0.020940245614511178,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
broad_fare_bounds,demand_c:risk,224.4821253735062,118.65544846841122,-36.676755869485106,485.6410066164975,0.08511116567632375,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
max_endpoint_risk,demand_c,-27.267570250745216,18.308150559409924,-67.5635379407299,13.028397439239463,0.16449266677641858,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
max_endpoint_risk,risk,-110.49882474451539,39.628770632452245,-197.72116081921814,-23.27648866981265,0.01763856115283759,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
max_endpoint_risk,demand_c:risk,123.86354064047232,87.60802109556928,-68.96041369587091,316.6874949768156,0.1850812602929499,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
balanced_support,demand_c,-33.79490488231655,19.769237775214325,-77.30670385188633,9.716894087253223,0.11538706446478672,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
balanced_support,risk,-236.6229740488799,99.12751989020546,-454.8011742839109,-18.44477381384894,0.036048563043011246,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
balanced_support,demand_c:risk,251.6269081316392,104.78701277542376,20.992248042598533,482.26156822067986,0.03515050834301085,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
exclude_ORD,demand_c,-50.510272506759726,14.800297497864497,-85.50741490099811,-15.513130112521338,0.011245112093721771,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
exclude_ORD,risk,-272.6609817326902,98.77468474253386,-506.2259967183175,-39.095966747062846,0.028078419203971375,"Approximate CR1 t inference; few clusters; exploratory, not confirmatory"
