Year,Quarter,Origin,Dest,RPCarrier,passengers,records,fare_mean,fare_variance,sample
2023,1,DEN,ATL,DL,4379.0,1183,272.96303950673666,22865.345783887708,primary
2023,1,DEN,ATL,UA,1461.0,771,236.0764065708419,14349.58509543771,primary
2023,1,DEN,ATL,WN,1534.0,674,202.1420143415906,7081.357600310097,primary
2023,1,DEN,JFK,DL,1715.0,609,236.3602857142857,25912.384668548097,primary
2023,1,DEN,LAX,DL,1696.0,546,170.06528891509433,10224.259010883517,primary
2023,1,DEN,LAX,UA,4652.0,1305,177.74440240756664,12673.969290593013,primary
2023,1,DEN,LAX,WN,2795.0,887,144.05335599284436,5251.349520401,primary
2023,1,DEN,SEA,DL,1444.0,453,169.00225761772853,9234.089211246654,primary
2023,1,DEN,SEA,UA,1992.0,830,197.35901104417673,13509.280258911516,primary
2023,1,DEN,SEA,WN,1311.0,622,156.81890922959573,6745.238317727075,primary
2023,1,DFW,ATL,AA,3753.0,1091,215.6375459632294,9479.298023207659,primary
2023,1,DFW,ATL,DL,3747.0,1284,247.36788897784893,14718.98383629619,primary
2023,1,DFW,JFK,AA,1317.0,686,179.87773728170083,16490.677229959834,primary
2023,1,DFW,JFK,DL,826.0,459,190.5806053268765,15626.042270093632,primary
2023,1,DFW,LAX,AA,6136.0,1620,302.6133018252933,30419.84154516057,primary
2023,1,DFW,LAX,DL,1029.0,507,268.74028182701653,30421.72311158238,primary
2023,1,DFW,SEA,AA,2148.0,798,297.8336545623836,27299.035200377897,primary
2023,1,ORD,ATL,AA,828.0,393,167.24952898550723,8124.06943709699,primary
2023,1,ORD,ATL,DL,3669.0,1186,206.55359498500954,12190.143168133596,primary
2023,1,ORD,ATL,UA,2075.0,795,186.48255903614458,6914.732211716393,primary
2023,1,ORD,JFK,AA,787.0,371,163.63017789072427,5155.873243678649,primary
2023,1,ORD,JFK,DL,101.0,76,194.05623762376237,6883.80728287423,primary
2023,1,ORD,LAX,AA,5435.0,1429,256.84821343146274,26837.825838997684,primary
2023,1,ORD,LAX,UA,7097.0,1993,253.3271340002818,27076.067303946125,primary
2023,1,ORD,SEA,AA,404.0,201,212.06460396039606,10702.2322292986,primary
2023,1,ORD,SEA,DL,951.0,390,203.7663196635121,11346.939333458278,primary
2023,1,ORD,SEA,UA,1349.0,696,236.4629651593773,17318.986615373884,primary
2023,1,DEN,ATL,DL,4536.0,1193,264.01574735449736,24306.782284670728,broad_fare_bounds
2023,1,DEN,ATL,UA,1461.0,771,236.0764065708419,14349.58509543771,broad_fare_bounds
2023,1,DEN,ATL,WN,1534.0,674,202.1420143415906,7081.357600310097,broad_fare_bounds
2023,1,DEN,JFK,DL,1752.0,616,231.67241438356166,26383.783183611384,broad_fare_bounds
2023,1,DEN,LAX,DL,1723.0,553,167.627527568195,10437.329738982844,broad_fare_bounds
2023,1,DEN,LAX,UA,4654.0,1307,177.67349806617963,12680.217914235389,broad_fare_bounds
2023,1,DEN,LAX,WN,2798.0,889,143.9096247319514,5264.966051932082,broad_fare_bounds
2023,1,DEN,SEA,DL,1473.0,460,165.96274949083502,9512.319602284162,broad_fare_bounds
2023,1,DEN,SEA,UA,1992.0,830,197.35901104417673,13509.280258911516,broad_fare_bounds
2023,1,DEN,SEA,WN,1314.0,624,156.48370624048707,6778.940006431207,broad_fare_bounds
2023,1,DFW,ATL,AA,3753.0,1091,215.6375459632294,9479.298023207659,broad_fare_bounds
2023,1,DFW,ATL,DL,3785.0,1291,245.0297067371202,15110.295479940418,broad_fare_bounds
2023,1,DFW,JFK,AA,1317.0,686,179.87773728170083,16490.677229959834,broad_fare_bounds
2023,1,DFW,JFK,DL,833.0,462,189.1009363745498,15753.082575113607,broad_fare_bounds
2023,1,DFW,LAX,AA,6136.0,1620,302.6133018252933,30419.84154516057,broad_fare_bounds
2023,1,DFW,LAX,DL,1052.0,513,263.1760836501901,31141.76249416791,broad_fare_bounds
2023,1,DFW,SEA,AA,2150.0,800,297.5668325581395,27350.103085641764,broad_fare_bounds
2023,1,ORD,ATL,AA,828.0,393,167.24952898550723,8124.06943709699,broad_fare_bounds
2023,1,ORD,ATL,DL,3714.0,1197,204.22456650511577,12484.717699879395,broad_fare_bounds
2023,1,ORD,ATL,UA,2075.0,795,186.48255903614458,6914.732211716393,broad_fare_bounds
2023,1,ORD,JFK,AA,787.0,371,163.63017789072427,5155.873243678649,broad_fare_bounds
2023,1,ORD,JFK,DL,104.0,79,188.87875,7587.717314783658,broad_fare_bounds
2023,1,ORD,LAX,AA,5435.0,1429,256.84821343146274,26837.825838997684,broad_fare_bounds
2023,1,ORD,LAX,UA,7097.0,1993,253.3271340002818,27076.067303946125,broad_fare_bounds
2023,1,ORD,SEA,AA,404.0,201,212.06460396039606,10702.2322292986,broad_fare_bounds
2023,1,ORD,SEA,DL,958.0,392,202.38337160751564,11523.86144677423,broad_fare_bounds
2023,1,ORD,SEA,UA,1349.0,696,236.4629651593773,17318.986615373884,broad_fare_bounds
2023,2,DEN,ATL,DL,4699.0,1254,268.367984677591,16268.591225200013,primary
2023,2,DEN,ATL,UA,1505.0,749,240.7735348837209,11667.987462056102,primary
2023,2,DEN,ATL,WN,1975.0,903,216.31071898734177,5837.831851634961,primary
2023,2,DEN,JFK,DL,2497.0,769,236.63256307569083,17918.985199357754,primary
2023,2,DEN,LAX,DL,1970.0,565,187.04834010152283,8595.570453843735,primary
2023,2,DEN,LAX,UA,5669.0,1434,192.95296877756215,10424.66736774308,primary
2023,2,DEN,LAX,WN,3272.0,1040,164.39186735941323,5421.157598805137,primary
2023,2,DEN,SEA,DL,1777.0,569,201.7183849184018,9268.985640891791,primary
2023,2,DEN,SEA,UA,2855.0,1165,242.61145359019264,12129.353539498275,primary
2023,2,DEN,SEA,WN,1712.0,777,204.67862733644859,7556.766754482625,primary
2023,2,DFW,ATL,AA,4180.0,979,212.52141866028708,8128.804681073525,primary
2023,2,DFW,ATL,DL,4536.0,1318,237.06805996472661,10074.99531479887,primary
2023,2,DFW,JFK,AA,1496.0,747,223.19839572192512,16568.786879779247,primary
2023,2,DFW,JFK,DL,867.0,520,258.29870818915805,21616.33728114552,primary
2023,2,DFW,LAX,AA,6599.0,1419,302.0433868767995,27001.977318291145,primary
2023,2,DFW,LAX,DL,1184.0,590,261.7812331081081,18241.393176857833,primary
2023,2,DFW,SEA,AA,3067.0,978,350.71104336485166,26436.453205823665,primary
2023,2,ORD,ATL,AA,1461.0,602,169.8418754277892,6404.57242276613,primary
2023,2,ORD,ATL,DL,4880.0,1408,226.03785655737704,9402.329961225332,primary
2023,2,ORD,ATL,UA,2682.0,930,195.46901193139448,7072.0798732593685,primary
2023,2,ORD,JFK,AA,1640.0,728,195.7861524390244,6199.933803062129,primary
2023,2,ORD,JFK,DL,221.0,150,254.12321266968328,11188.98197384164,primary
2023,2,ORD,LAX,AA,6383.0,1410,292.98516684944383,26348.441456462067,primary
2023,2,ORD,LAX,UA,8533.0,2208,300.133195827962,30935.23452356145,primary
2023,2,ORD,LAX,WN,34.0,32,189.44941176470587,4009.6849114186844,primary
2023,2,ORD,SEA,AA,892.0,384,289.8162219730942,16110.349606914868,primary
2023,2,ORD,SEA,DL,2238.0,783,255.51124218051834,14263.782408197818,primary
2023,2,ORD,SEA,UA,2185.0,1082,296.01705263157896,17521.900546736346,primary
2023,2,DEN,ATL,DL,4813.0,1263,262.35532100560977,17373.421823359473,broad_fare_bounds
2023,2,DEN,ATL,UA,1507.0,750,240.4685932315859,11722.476940954002,broad_fare_bounds
2023,2,DEN,ATL,WN,1976.0,904,216.20631072874494,5856.407125103855,broad_fare_bounds
2023,2,DEN,JFK,DL,2523.0,776,234.3435156559651,18237.542998936253,broad_fare_bounds
2023,2,DEN,LAX,DL,1995.0,571,184.88432581453634,8856.879510460269,broad_fare_bounds
2023,2,DEN,LAX,UA,5669.0,1434,192.95296877756215,10424.66736774308,broad_fare_bounds
2023,2,DEN,LAX,WN,3276.0,1042,164.20335470085473,5443.607643111052,broad_fare_bounds
2023,2,DEN,SEA,DL,1804.0,578,198.92066518847008,9645.425079934466,broad_fare_bounds
2023,2,DEN,SEA,UA,2855.0,1165,242.61145359019264,12129.353539498275,broad_fare_bounds
2023,2,DEN,SEA,WN,1712.0,777,204.67862733644859,7556.766754482625,broad_fare_bounds
2023,2,DFW,ATL,AA,4180.0,979,212.52141866028708,8128.804681073525,broad_fare_bounds
2023,2,DFW,ATL,DL,4595.0,1327,234.20937105549513,10573.927074533698,broad_fare_bounds
2023,2,DFW,JFK,AA,1496.0,747,223.19839572192512,16568.786879779247,broad_fare_bounds
2023,2,DFW,JFK,DL,877.0,525,255.51883694412768,22039.847025557232,broad_fare_bounds
2023,2,DFW,LAX,AA,6600.0,1420,301.9998196969697,27010.411665952313,broad_fare_bounds
2023,2,DFW,LAX,DL,1196.0,595,259.29914715719065,18666.23100127933,broad_fare_bounds
2023,2,DFW,SEA,AA,3067.0,978,350.71104336485166,26436.453205823665,broad_fare_bounds
2023,2,ORD,ATL,AA,1461.0,602,169.8418754277892,6404.57242276613,broad_fare_bounds
2023,2,ORD,ATL,DL,4957.0,1418,222.75180552753682,9940.63908721818,broad_fare_bounds
2023,2,ORD,ATL,UA,2682.0,930,195.46901193139448,7072.0798732593685,broad_fare_bounds
2023,2,ORD,JFK,AA,1640.0,728,195.7861524390244,6199.933803062129,broad_fare_bounds
2023,2,ORD,JFK,DL,225.0,152,249.8644888888889,11992.120974072095,broad_fare_bounds
2023,2,ORD,LAX,AA,6384.0,1411,292.9409962406015,26356.76769979071,broad_fare_bounds
2023,2,ORD,LAX,UA,8535.0,2209,300.06544346807266,30947.570359753532,broad_fare_bounds
2023,2,ORD,LAX,WN,34.0,32,189.44941176470587,4009.6849114186844,broad_fare_bounds
2023,2,ORD,SEA,AA,892.0,384,289.8162219730942,16110.349606914868,broad_fare_bounds
2023,2,ORD,SEA,DL,2254.0,790,253.80042590949424,14571.930131318157,broad_fare_bounds
2023,2,ORD,SEA,UA,2187.0,1084,295.75983539094653,17578.170295354692,broad_fare_bounds
2023,3,DEN,ATL,DL,4234.0,1187,284.76291922531885,20190.341335172023,primary
2023,3,DEN,ATL,UA,1729.0,748,217.51592828224406,11578.781072142927,primary
2023,3,DEN,ATL,WN,2381.0,942,188.1585384292314,7151.166732177124,primary
2023,3,DEN,JFK,DL,2736.0,658,219.8272331871345,15769.19849260059,primary
2023,3,DEN,LAX,DL,1965.0,522,174.94401526717556,9489.832692630818,primary
2023,3,DEN,LAX,UA,5878.0,1419,184.53807077237155,9853.42118440329,primary
2023,3,DEN,LAX,WN,3555.0,937,148.4209676511955,5133.391525927225,primary
2023,3,DEN,SEA,DL,1724.0,612,213.2463283062645,9250.499396785483,primary
2023,3,DEN,SEA,UA,3686.0,1279,221.22111502984265,9488.013978870651,primary
2023,3,DEN,SEA,WN,2113.0,971,194.06292001893044,7520.201140408652,primary
2023,3,DFW,ATL,AA,3843.0,945,201.80910486599012,9147.08845686201,primary
2023,3,DFW,ATL,DL,4206.0,1258,217.43988349976226,9181.216991498542,primary
2023,3,DFW,JFK,AA,1228.0,607,247.1750407166124,19181.489183955993,primary
2023,3,DFW,JFK,DL,861.0,471,245.83084785133565,13904.342018909483,primary
2023,3,DFW,LAX,AA,5916.0,1197,280.90794793779577,27578.89829321974,primary
2023,3,DFW,LAX,DL,1102.0,504,246.80749546279492,14353.397733473212,primary
2023,3,DFW,SEA,AA,3179.0,915,332.9130670022019,29446.22717747622,primary
2023,3,ORD,ATL,AA,980.0,533,185.48564285714286,8674.10291621938,primary
2023,3,ORD,ATL,DL,4658.0,1384,224.0499935594676,10450.951451502748,primary
2023,3,ORD,ATL,UA,2767.0,930,185.56548247199132,7488.699984217892,primary
2023,3,ORD,JFK,AA,1824.0,673,191.18149671052632,7051.408392003279,primary
2023,3,ORD,JFK,DL,213.0,154,257.25474178403755,7430.060577984972,primary
2023,3,ORD,LAX,AA,5892.0,1284,292.01294806517313,31671.651098080794,primary
2023,3,ORD,LAX,UA,8352.0,2139,286.5534075670498,29468.351824595375,primary
2023,3,ORD,LAX,WN,36.0,35,198.12305555555557,4990.10596010802,primary
2023,3,ORD,SEA,AA,1309.0,463,252.26359816653934,14872.490609436689,primary
2023,3,ORD,SEA,DL,2366.0,767,240.9720540997464,13271.352088511027,primary
2023,3,ORD,SEA,UA,3099.0,1245,259.7858405937399,14687.230215516378,primary
2023,3,DEN,ATL,DL,4370.0,1200,276.3520137299771,21764.403309446046,broad_fare_bounds
2023,3,DEN,ATL,UA,1729.0,748,217.51592828224406,11578.781072142927,broad_fare_bounds
2023,3,DEN,ATL,WN,2381.0,942,188.1585384292314,7151.166732177124,broad_fare_bounds
2023,3,DEN,JFK,DL,2765.0,666,217.67414828209766,16041.180649808026,broad_fare_bounds
2023,3,DEN,LAX,DL,1986.0,526,173.24747734138973,9658.808145650295,broad_fare_bounds
2023,3,DEN,LAX,UA,5878.0,1419,184.53807077237155,9853.42118440329,broad_fare_bounds
2023,3,DEN,LAX,WN,3555.0,937,148.4209676511955,5133.391525927225,broad_fare_bounds
2023,3,DEN,SEA,DL,1750.0,619,210.29608571428574,9690.212035364071,broad_fare_bounds
2023,3,DEN,SEA,UA,3687.0,1280,221.16409818280445,9497.423503438149,broad_fare_bounds
2023,3,DEN,SEA,WN,2113.0,971,194.06292001893044,7520.201140408652,broad_fare_bounds
2023,3,DFW,ATL,AA,3844.0,946,201.75946670135275,9154.17783111518,broad_fare_bounds
2023,3,DFW,ATL,DL,4268.0,1266,214.48973289597,9638.277306863987,broad_fare_bounds
2023,3,DFW,JFK,AA,1229.0,608,246.98572823433688,19209.892345543703,broad_fare_bounds
2023,3,DFW,JFK,DL,865.0,473,244.76113294797688,14086.352900681755,broad_fare_bounds
2023,3,DFW,LAX,AA,5916.0,1197,280.90794793779577,27578.89829321974,broad_fare_bounds
2023,3,DFW,LAX,DL,1121.0,510,242.87241748438893,15008.246251336852,broad_fare_bounds
2023,3,DFW,SEA,AA,3179.0,915,332.9130670022019,29446.22717747622,broad_fare_bounds
2023,3,ORD,ATL,AA,980.0,533,185.48564285714286,8674.10291621938,broad_fare_bounds
2023,3,ORD,ATL,DL,4746.0,1395,220.16565318162665,11055.812398488226,broad_fare_bounds
2023,3,ORD,ATL,UA,2767.0,930,185.56548247199132,7488.699984217892,broad_fare_bounds
2023,3,ORD,JFK,AA,1825.0,674,191.08276712328765,7065.324103849889,broad_fare_bounds
2023,3,ORD,JFK,DL,218.0,158,251.68857798165138,8579.487190179694,broad_fare_bounds
2023,3,ORD,LAX,AA,5893.0,1285,291.9650924826065,31679.77024891811,broad_fare_bounds
2023,3,ORD,LAX,UA,8358.0,2141,286.355594639866,29501.66612507713,broad_fare_bounds
2023,3,ORD,LAX,WN,36.0,35,198.12305555555557,4990.10596010802,broad_fare_bounds
2023,3,ORD,SEA,AA,1309.0,463,252.26359816653934,14872.490609436689,broad_fare_bounds
2023,3,ORD,SEA,DL,2387.0,772,238.98169669040638,13600.936570770165,broad_fare_bounds
2023,3,ORD,SEA,UA,3100.0,1246,259.7055870967742,14702.45189239725,broad_fare_bounds
2023,4,DEN,ATL,DL,3616.0,1158,274.1082107300885,21351.581504071743,primary
2023,4,DEN,ATL,UA,1736.0,864,235.8363479262673,16282.49732133976,primary
2023,4,DEN,ATL,WN,2390.0,1112,198.0623179916318,7939.622598476293,primary
2023,4,DEN,JFK,DL,2007.0,690,245.25368709516692,21907.391814606628,primary
2023,4,DEN,LAX,DL,1393.0,510,210.34446518305816,12516.725239071471,primary
2023,4,DEN,LAX,UA,5100.0,1496,213.95023921568628,12288.950659981994,primary
2023,4,DEN,LAX,WN,3419.0,1188,165.2261333723311,6817.964442317392,primary
2023,4,DEN,SEA,DL,1234.0,473,203.4192787682334,11593.157241862318,primary
2023,4,DEN,SEA,UA,2469.0,1115,215.01179829890646,11893.721987936624,primary
2023,4,DEN,SEA,WN,1655.0,813,173.59977039274924,7390.291583995622,primary
2023,4,DFW,ATL,AA,4300.0,1170,212.01251627906976,13032.77451227299,primary
2023,4,DFW,ATL,DL,4048.0,1319,243.84789278656126,16507.13821702705,primary
2023,4,DFW,JFK,AA,1485.0,751,286.85925925925926,29542.639697094404,primary
2023,4,DFW,JFK,DL,800.0,482,276.982475,24765.866110874354,primary
2023,4,DFW,LAX,AA,6567.0,1693,297.1841221257804,33545.42854236548,primary
2023,4,DFW,LAX,DL,1000.0,480,258.49117,23067.499129931093,primary
2023,4,DFW,SEA,AA,3104.0,937,271.5416527061856,23577.954909027583,primary
2023,4,ORD,ATL,AA,1001.0,528,189.06613386613387,10204.836933005063,primary
2023,4,ORD,ATL,DL,3931.0,1270,230.82462477741032,13834.377364162188,primary
2023,4,ORD,ATL,UA,3041.0,1059,194.8959980269648,10250.615268002628,primary
2023,4,ORD,JFK,AA,1616.0,663,188.76136138613862,9877.461225498111,primary
2023,4,ORD,JFK,DL,159.0,130,260.3343396226415,14545.467624563913,primary
2023,4,ORD,LAX,AA,5769.0,1490,287.4735378748483,36719.073827403714,primary
2023,4,ORD,LAX,UA,8928.0,2525,300.63757392473116,33696.46344781043,primary
2023,4,ORD,LAX,WN,98.0,87,190.64132653061222,7851.248784975018,primary
2023,4,ORD,SEA,AA,657.0,329,214.8749162861492,17070.50050748918,primary
2023,4,ORD,SEA,DL,1606.0,587,214.30250311332503,18480.439965091835,primary
2023,4,ORD,SEA,UA,2381.0,1189,243.2926921461571,18928.319619673814,primary
2023,4,DEN,ATL,DL,3717.0,1167,267.05333333333334,22553.32102507398,broad_fare_bounds
2023,4,DEN,ATL,UA,1738.0,866,235.57963176064445,16320.967763155524,broad_fare_bounds
2023,4,DEN,ATL,WN,2391.0,1113,197.98408197406943,7950.930859958149,broad_fare_bounds
2023,4,DEN,JFK,DL,2039.0,697,241.63233447768513,22386.083822603185,broad_fare_bounds
2023,4,DEN,LAX,DL,1414.0,514,207.43588401697315,12892.002958589088,broad_fare_bounds
2023,4,DEN,LAX,UA,5102.0,1498,213.8713680909447,12299.99722180533,broad_fare_bounds
2023,4,DEN,LAX,WN,3422.0,1190,165.0906341320865,6832.911792262985,broad_fare_bounds
2023,4,DEN,SEA,DL,1244.0,477,201.9036575562701,11783.437972715525,broad_fare_bounds
2023,4,DEN,SEA,UA,2470.0,1116,214.9292024291498,11905.750425720158,broad_fare_bounds
2023,4,DEN,SEA,WN,1655.0,813,173.59977039274924,7390.291583995622,broad_fare_bounds
2023,4,DFW,ATL,AA,4301.0,1171,211.96554754708205,13039.230404844348,broad_fare_bounds
2023,4,DFW,ATL,DL,4121.0,1328,239.7853846153846,17129.90755574264,broad_fare_bounds
2023,4,DFW,JFK,AA,1485.0,751,286.85925925925926,29542.639697094404,broad_fare_bounds
2023,4,DFW,JFK,DL,806.0,488,275.02856079404467,25090.54225475251,broad_fare_bounds
2023,4,DFW,LAX,AA,6567.0,1693,297.1841221257804,33545.42854236548,broad_fare_bounds
2023,4,DFW,LAX,DL,1015.0,487,254.88533004926106,23593.405581344283,broad_fare_bounds
2023,4,DFW,SEA,AA,3104.0,937,271.5416527061856,23577.954909027583,broad_fare_bounds
2023,4,ORD,ATL,AA,1001.0,528,189.06613386613387,10204.836933005063,broad_fare_bounds
2023,4,ORD,ATL,DL,3986.0,1280,227.8381435022579,14280.968108695903,broad_fare_bounds
2023,4,ORD,ATL,UA,3042.0,1060,194.8366962524655,10257.939858085912,broad_fare_bounds
2023,4,ORD,JFK,AA,1616.0,663,188.76136138613862,9877.461225498111,broad_fare_bounds
2023,4,ORD,JFK,DL,159.0,130,260.3343396226415,14545.467624563913,broad_fare_bounds
2023,4,ORD,LAX,AA,5769.0,1490,287.4735378748483,36719.073827403714,broad_fare_bounds
2023,4,ORD,LAX,UA,8933.0,2528,300.4761289600358,33724.144721632125,broad_fare_bounds
2023,4,ORD,LAX,WN,98.0,87,190.64132653061222,7851.248784975018,broad_fare_bounds
2023,4,ORD,SEA,AA,657.0,329,214.8749162861492,17070.50050748918,broad_fare_bounds
2023,4,ORD,SEA,DL,1625.0,592,211.96788923076923,18725.06870797542,broad_fare_bounds
2023,4,ORD,SEA,UA,2382.0,1190,243.19517212426533,18943.016900117313,broad_fare_bounds
2024,1,DEN,ATL,DL,4302.0,1270,268.6421338912134,21003.760580104805,primary
2024,1,DEN,ATL,UA,1223.0,754,248.55623058053968,15477.031235096452,primary
2024,1,DEN,ATL,WN,2005.0,1108,176.22197506234414,9031.490984228807,primary
2024,1,DEN,JFK,DL,1839.0,824,256.1064382816748,23555.036769424027,primary
2024,1,DEN,LAX,DL,1401.0,641,203.35493219129194,11549.33640615172,primary
2024,1,DEN,LAX,UA,4076.0,1375,216.38932286555448,12159.088280895754,primary
2024,1,DEN,LAX,WN,3128.0,1196,158.15828644501278,7711.000594442248,primary
2024,1,DEN,SEA,DL,1383.0,526,175.82804049168473,8266.435586688174,primary
2024,1,DEN,SEA,UA,1983.0,867,193.83476550680788,8686.483031097297,primary
2024,1,DEN,SEA,WN,1504.0,768,145.3009375,6974.378860357796,primary
2024,1,DFW,ATL,AA,3691.0,1220,244.1657924681658,11670.96084360798,primary
2024,1,DFW,ATL,DL,3877.0,1714,281.0327031209698,16893.301214565727,primary
2024,1,DFW,JFK,AA,1002.0,571,260.4265269461078,30777.72935640096,primary
2024,1,DFW,JFK,DL,811.0,541,239.33125770653513,18344.58976142681,primary
2024,1,DFW,LAX,AA,5329.0,1685,317.2234621880278,37085.820140105585,primary
2024,1,DFW,LAX,DL,778.0,484,265.8039845758355,20073.22353219513,primary
2024,1,DFW,SEA,AA,2526.0,1036,291.93090261282657,24630.280508053067,primary
2024,1,ORD,ATL,AA,422.0,257,199.9145497630332,14859.825147072166,primary
2024,1,ORD,ATL,DL,3594.0,1482,231.2880244852532,16334.127009675525,primary
2024,1,ORD,ATL,UA,2436.0,1058,217.8620566502463,13114.798437765268,primary
2024,1,ORD,JFK,AA,1050.0,481,162.14882857142857,8326.812231484899,primary
2024,1,ORD,JFK,DL,90.0,83,199.33966666666666,10142.331578777783,primary
2024,1,ORD,LAX,AA,5006.0,1521,269.33766679984024,32068.68094285819,primary
2024,1,ORD,LAX,UA,6504.0,2129,286.4006918819188,29559.1392151732,primary
2024,1,ORD,SEA,AA,331.0,223,235.69344410876133,19960.307537382832,primary
2024,1,ORD,SEA,DL,992.0,540,214.1333064516129,14643.473476567378,primary
2024,1,ORD,SEA,UA,1597.0,864,237.19627426424546,15864.952810351824,primary
2024,1,DEN,ATL,DL,4391.0,1280,263.4937667957185,21859.256525414996,broad_fare_bounds
2024,1,DEN,ATL,UA,1226.0,755,247.9749347471452,15576.91175957975,broad_fare_bounds
2024,1,DEN,ATL,WN,2005.0,1108,176.22197506234414,9031.490984228807,broad_fare_bounds
2024,1,DEN,JFK,DL,1862.0,833,253.12781417830288,23973.478192805436,broad_fare_bounds
2024,1,DEN,LAX,DL,1414.0,647,201.62005657708627,11767.517997026502,broad_fare_bounds
2024,1,DEN,LAX,UA,4077.0,1376,216.33980377728722,12166.100842345608,broad_fare_bounds
2024,1,DEN,LAX,WN,3130.0,1198,158.06363258785942,7720.085865494406,broad_fare_bounds
2024,1,DEN,SEA,DL,1391.0,533,174.90092020129404,8367.488509433606,broad_fare_bounds
2024,1,DEN,SEA,UA,1983.0,867,193.83476550680788,8686.483031097297,broad_fare_bounds
2024,1,DEN,SEA,WN,1504.0,768,145.3009375,6974.378860357796,broad_fare_bounds
2024,1,DFW,ATL,AA,3693.0,1222,244.03924722447871,11694.193674602582,broad_fare_bounds
2024,1,DFW,ATL,DL,3923.0,1724,277.9120290593933,17516.011609902795,broad_fare_bounds
2024,1,DFW,JFK,AA,1003.0,572,260.17684945164507,30809.507213005243,broad_fare_bounds
2024,1,DFW,JFK,DL,821.0,548,236.60172959805115,18725.386985802645,broad_fare_bounds
2024,1,DFW,LAX,AA,5330.0,1686,317.16600938086304,37096.452296814154,broad_fare_bounds
2024,1,DFW,LAX,DL,783.0,488,264.20178799489145,20344.47275593462,broad_fare_bounds
2024,1,DFW,SEA,AA,2527.0,1037,291.8197309062129,24651.75287052513,broad_fare_bounds
2024,1,ORD,ATL,AA,422.0,257,199.9145497630332,14859.825147072166,broad_fare_bounds
2024,1,ORD,ATL,DL,3611.0,1488,230.26775131542507,16477.30563692625,broad_fare_bounds
2024,1,ORD,ATL,UA,2437.0,1059,217.77832581042267,13126.495342950053,broad_fare_bounds
2024,1,ORD,JFK,AA,1050.0,481,162.14882857142857,8326.812231484899,broad_fare_bounds
2024,1,ORD,JFK,DL,90.0,83,199.33966666666666,10142.331578777783,broad_fare_bounds
2024,1,ORD,LAX,AA,5007.0,1522,269.286870381466,32075.193035601915,broad_fare_bounds
2024,1,ORD,LAX,UA,6508.0,2133,286.2324216349109,29587.012966753973,broad_fare_bounds
2024,1,ORD,SEA,AA,331.0,223,235.69344410876133,19960.307537382832,broad_fare_bounds
2024,1,ORD,SEA,DL,998.0,544,212.93961923847695,14791.03698262055,broad_fare_bounds
2024,1,ORD,SEA,UA,1598.0,865,237.05414267834794,15887.286421010933,broad_fare_bounds
2024,2,DEN,ATL,DL,4896.0,1285,252.003137254902,16662.899460664157,primary
2024,2,DEN,ATL,UA,1447.0,780,230.26634416033173,12607.932584907125,primary
2024,2,DEN,ATL,WN,2446.0,1276,181.79354456255112,7886.472094999437,primary
2024,2,DEN,JFK,DL,2672.0,867,227.69552395209578,13643.226994785364,primary
2024,2,DEN,LAX,DL,1903.0,653,182.64168155543877,9504.166399904905,primary
2024,2,DEN,LAX,UA,4705.0,1354,204.21633793836344,12366.825406036696,primary
2024,2,DEN,LAX,WN,3392.0,1326,156.56918632075474,6327.697626578487,primary
2024,2,DEN,SEA,DL,2113.0,639,171.33135352579274,6628.568732952626,primary
2024,2,DEN,SEA,UA,2538.0,1014,214.48383766745468,8387.892849023294,primary
2024,2,DEN,SEA,WN,1574.0,794,182.32897712833545,5983.28383434128,primary
2024,2,DFW,ATL,AA,4155.0,1380,232.74612274368232,12678.945398420554,primary
2024,2,DFW,ATL,DL,4534.0,1727,263.1934869872078,15003.412544766354,primary
2024,2,DFW,JFK,AA,1469.0,697,244.25237576582708,22212.947930026254,primary
2024,2,DFW,JFK,DL,860.0,571,285.62697674418604,24472.20920806924,primary
2024,2,DFW,LAX,AA,7347.0,1895,295.5973336055533,33953.15799687836,primary
2024,2,DFW,LAX,DL,1156.0,617,274.66495674740486,29710.200603371835,primary
2024,2,DFW,SEA,AA,4292.0,1432,307.05558014911463,23360.00069633164,primary
